src_id,tgt_id,stratum,screening_score,N_stratum,n_stratum,weight,in_pilot
5.0-1,5.1.3-1.1,H,0.9664653784219002,497,250,1.988,False
5.6-9,5.1.2-4,H,0.9628824476650563,497,250,1.988,False
5.3-13,5.3.1-1,H,0.9607085346215781,497,250,1.988,False
5.12-2,5.3.1-3,H,0.9601449275362318,497,250,1.988,False
5.3-14,5.3.1-1,H,0.9575684380032208,497,250,1.988,False
5.8-3,5.2.3-2.2,H,0.9569243156199677,497,250,1.988,False
5.12-2,5.1.3-2,H,0.9544283413848632,497,250,1.988,False
5.0-1,5.1.3-2,H,0.9539452495974234,497,250,1.988,False
5.2-3,5.3.1-3,H,0.9510064412238325,497,250,1.988,False
5.13-1A,5.2.1-4.1,H,0.9457125603864733,497,250,1.988,True
5.6-9,5.2.4-3,H,0.9447665056360709,497,250,1.988,False
5.8-2,5.1.2-5,H,0.9446054750402577,497,250,1.988,False
5.3-14,5.2.3-4,H,0.9434581320450885,497,250,1.988,False
5.3-6B,5.4.1-1,H,0.9421900161030596,497,250,1.988,False
5.2-1,5.1.3-2,H,0.9411835748792271,497,250,1.988,False
5.6-9,5.2.2-3,H,0.9403381642512076,497,250,1.988,False
5.12-3,5.3.1-3,H,0.939573268921095,497,250,1.988,False
5.12-2,5.3.1-2,H,0.9391304347826086,497,250,1.988,True
5.3-13,5.2.3-4,H,0.935547504025765,497,250,1.988,False
5.8-3,5.3.1-1,H,0.933695652173913,497,250,1.988,True
5.3-8,5.4.1-1,H,0.9316022544283415,497,250,1.988,True
5.3-8,5.3.1-3,H,0.9316022544283413,497,250,1.988,False
5.6-9,5.4.1-2,H,0.9301127214170692,497,250,1.988,False
5.4-4,5.1.3-1.1,H,0.9271336553945249,497,250,1.988,False
5.3-8,5.4.1-1.1,H,0.9250805152979066,497,250,1.988,False
5.3-5,5.3.1-2.2,H,0.9243156199677938,497,250,1.988,False
5.4-4,5.1.3-1,H,0.9227455716586151,497,250,1.988,False
5.3-4B,5.4.1-2,H,0.9202093397745571,497,250,1.988,False
5.6-9,5.3.1-3,H,0.9175523349436393,497,250,1.988,False
5.4-4,5.4.1-1.1,H,0.9172302737520128,497,250,1.988,False
5.2-3,5.1.3-4,H,0.9154589371980677,497,250,1.988,True
5.0-1,5.1.2-7,H,0.9144122383252817,497,250,1.988,False
5.2-1,5.2.4-1,H,0.9143317230273752,497,250,1.988,False
5.2-3,5.2.5-1,H,0.9104669887278583,497,250,1.988,False
5.6-8,5.2.1-2,H,0.909500805152979,497,250,1.988,False
5.12-2,5.4.1-1,H,0.9092995169082124,497,250,1.988,False
5.6-9,5.2.5-1,H,0.9091384863123994,497,250,1.988,False
5.2-3,5.4.2-4,H,0.9084541062801932,497,250,1.988,False
5.4-4,5.1.2-4,H,0.90402576489533,497,250,1.988,False
5.3-13,5.2.4-1,H,0.9028582930756844,497,250,1.988,False
5.4-4,5.2.5-1,H,0.9028582930756844,497,250,1.988,False
5.6-9,5.2.3-2,H,0.8958534621578099,497,250,1.988,False
5.5-5,5.1.2-6,H,0.8937600644122383,497,250,1.988,False
5.2-2,5.4.1-1,H,0.8934782608695653,497,250,1.988,False
5.12-2,5.2.1-2,H,0.8926731078904993,497,250,1.988,False
5.12-3,5.2.5-1,H,0.8908615136876007,497,250,1.988,False
5.2-1,5.2.4-1.1,H,0.8898550724637682,497,250,1.988,False
5.0-1,5.2.1-4.1,H,0.8887681159420289,497,250,1.988,False
5.6-8,5.2.1-4,H,0.8878019323671499,497,250,1.988,False
5.6-5,5.1.2-6,H,0.8876811594202898,497,250,1.988,False
5.5-2,5.1.3-3,H,0.8876006441223833,497,250,1.988,False
5.6-9,5.2.2-1,H,0.8872785829307569,497,250,1.988,False
5.5-8,5.2.5-1,H,0.8869162640901772,497,250,1.988,False
5.1-3,5.2.1-2,H,0.8861513687600645,497,250,1.988,False
5.5-2,5.4.2-3,H,0.8861111111111111,497,250,1.988,False
5.6-5,5.2.3-2,H,0.882890499194847,497,250,1.988,False
5.5-8,5.2.2-1,H,0.8827294685990339,497,250,1.988,False
5.2-3,5.4.2-3,H,0.8826086956521738,497,250,1.988,False
5.7-2,5.2.4-3,H,0.8825684380032206,497,250,1.988,False
5.5-2,5.2.5-1,H,0.8822061191626409,497,250,1.988,False
5.2-3,5.2.2-1,H,0.8813204508856682,497,250,1.988,False
5.5-8,5.2.1-2,H,0.8801529790660225,497,250,1.988,False
5.7-2,5.4.2-3,H,0.879549114331723,497,250,1.988,True
5.3-6B,5.3.1-3,H,0.8780595813204508,497,250,1.988,False
5.0-1,5.2.3-2,H,0.875523349436393,497,250,1.988,True
5.7-2,5.4.2-4,H,0.8745169082125603,497,250,1.988,False
5.3-8,5.1.3-1.1,H,0.8745169082125603,497,250,1.988,False
5.5-8,5.3.1-3,H,0.8736714975845411,497,250,1.988,False
5.3-14,5.4.1-1,H,0.8731884057971013,497,250,1.988,False
5.5-2,5.1.3-1,H,0.8721819645732689,497,250,1.988,False
5.5-1,5.1.3-1.1,H,0.871940418679549,497,250,1.988,False
5.12-1,5.3.1-2.2,H,0.8704911433172302,497,250,1.988,False
5.5-1,5.1.3-4,H,0.8700080515297905,497,250,1.988,False
5.1-3,5.2.5-1,H,0.8694847020933978,497,250,1.988,False
5.6-9,5.1.3-1,H,0.8685185185185185,497,250,1.988,False
5.11-1,5.3.1-1,H,0.8681561996779388,497,250,1.988,False
5.2-3,5.1.3-2,H,0.8680756843800321,497,250,1.988,False
5.6-9,5.4.1-1,H,0.867914653784219,497,250,1.988,False
5.12-2,5.2.4-3,H,0.8674718196457327,497,250,1.988,False
5.8-3,5.2.4-1,H,0.8670692431561997,497,250,1.988,False
5.6-9,5.2.5-4.1,H,0.8657809983896939,497,250,1.988,False
5.3-4B,5.3.1-2.2,H,0.8640901771336555,497,250,1.988,False
5.3-12,5.2.3-4,H,0.860950080515298,497,250,1.988,False
5.2-3,5.1.2-4,H,0.859500805152979,497,250,1.988,False
5.1-2,5.2.1-2,H,0.8588969404186795,497,250,1.988,False
5.6-1,5.1.2-6,H,0.8579911433172303,497,250,1.988,False
5.6-9,5.4.1-3,H,0.8577294685990339,497,250,1.988,False
5.13-1B,5.1.4-4,H,0.8571658615136876,497,250,1.988,False
5.3-8,5.1.1-2.1,H,0.8563204508856682,497,250,1.988,False
5.11-4,5.3.1-2.2,H,0.8553945249597424,497,250,1.988,True
5.0-1,5.1.1-2,H,0.8544685990338164,497,250,1.988,False
5.6-9,5.4.1-1.1,H,0.8534219001610307,497,250,1.988,False
5.12-2,5.2.5-1,H,0.8534219001610307,497,250,1.988,False
5.5-2,5.3.1-3,H,0.8530193236714976,497,250,1.988,False
5.6-3,5.1.3-1.2,H,0.8523349436392916,497,250,1.988,False
5.7-2,5.2.1-2,H,0.852012882447665,497,250,1.988,False
5.1-3,5.1.2-6,H,0.8518518518518519,497,250,1.988,False
5.0-1,5.1.2-3,H,0.8518115942028986,497,250,1.988,False
5.5-2,5.4.1-1,H,0.850523349436393,497,250,1.988,False
5.2-3,5.2.1-2,H,0.8502012882447664,497,250,1.988,False
5.2-2,5.1.3-1.1,H,0.8483091787439612,497,250,1.988,False
5.5-2,5.2.5-2.1,H,0.8460950080515298,497,250,1.988,True
5.6-2,5.1.3-1.1,H,0.8454106280193237,497,250,1.988,False
5.13-1B,5.2.1-4,H,0.8446457326892111,497,250,1.988,False
5.6-9,5.1.4-4,H,0.8439613526570048,497,250,1.988,False
5.6-8,5.2.2-3,H,0.8428743961352657,497,250,1.988,False
5.3-6B,5.2.4-3,H,0.8410225442834138,497,250,1.988,False
5.1-4,5.3.1-1,H,0.8409420289855072,497,250,1.988,False
5.4-4,5.3.1-2.2,H,0.8408615136876006,497,250,1.988,False
5.3-8,5.1.3-1,H,0.8408212560386474,497,250,1.988,False
5.6-1,5.2.2-3,H,0.8407809983896941,497,250,1.988,False
5.3-1,5.2.3-2,H,0.8402576489533011,497,250,1.988,False
5.12-2,5.1.3-1,H,0.8376006441223833,497,250,1.988,False
5.1-2,5.2.2-2,H,0.8373993558776167,497,250,1.988,False
5.5-8,5.2.3-2.1,H,0.8370772946859903,497,250,1.988,False
5.3-6B,5.4.1-2,H,0.8367954911433172,497,250,1.988,False
5.3-1,5.2.1-2,H,0.8353462157809984,497,250,1.988,False
5.4-4,5.2.3-1,H,0.8328502415458937,497,250,1.988,False
5.2-2,5.1.3-2,H,0.8326489533011273,497,250,1.988,False
5.10-1,5.4.2-3,H,0.8323268921095008,497,250,1.988,False
5.12-3,5.1.3-4,H,0.832085346215781,497,250,1.988,False
5.5-8,5.1.3-3,H,0.8320048309178745,497,250,1.988,False
5.6-9,5.1.4-3,H,0.8319243156199677,497,250,1.988,False
5.7-1,5.2.1-2,H,0.8316425120772946,497,250,1.988,False
5.5-2,5.3.1-1,H,0.8311191626409018,497,250,1.988,False
5.11-1,5.5.1-2,H,0.8310789049919484,497,250,1.988,True
5.3-11,5.4.1-1.1,H,0.8309581320450885,497,250,1.988,False
5.8-1,5.2.1-4,H,0.8303140096618357,497,250,1.988,True
5.3-1,5.3.1-2.2,H,0.830072463768116,497,250,1.988,False
5.5-1,5.2.3-2,H,0.8291062801932366,497,250,1.988,False
5.3-2,5.2.3-2,H,0.8276167471819645,497,250,1.988,False
5.3-14,5.4.1-1.1,H,0.8270531400966185,497,250,1.988,True
5.4-4,5.1.2-3,H,0.8267713365539453,497,250,1.988,False
5.6-9,5.1.3-2,H,0.826328502415459,497,250,1.988,False
5.5-1,5.2.5-1,H,0.8258454106280194,497,250,1.988,False
5.3-7,5.4.1-1.1,H,0.8254428341384863,497,250,1.988,False
5.3-14,5.2.2-6,H,0.8241143317230273,497,250,1.988,False
5.2-1,5.1.2-3,H,0.8238325281803544,497,250,1.988,True
5.6-9,5.1.3-1.2,H,0.8232689210950082,497,250,1.988,False
5.3-13,5.2.3-2.2,H,0.8218196457326892,497,250,1.988,False
5.3-4B,5.3.1-2,H,0.8217793880837359,497,250,1.988,False
5.2-2,5.4.2-1,H,0.8212962962962964,497,250,1.988,False
5.6-3,5.2.2-2,H,0.820330112721417,497,250,1.988,False
5.5-5,5.2.3-2,H,0.8196054750402576,497,250,1.988,False
5.2-1,5.4.2-1,H,0.817914653784219,497,250,1.988,False
5.3-11,5.4.1-1,H,0.8178743961352657,497,250,1.988,False
5.8-1,5.2.2-1,H,0.8172302737520128,497,250,1.988,False
5.3-6A,5.3.1-2.2,H,0.817109500805153,497,250,1.988,False
5.1-3,5.2.3-2,H,0.81682769726248,497,250,1.988,False
5.6-4A,5.2.2-2,H,0.81658615136876,497,250,1.988,False
5.12-3,5.3.1-2.2,H,0.8161433172302738,497,250,1.988,False
5.7-2,5.2.1-4,H,0.8160225442834138,497,250,1.988,False
5.6-2,5.2.5-1,H,0.8159420289855073,497,250,1.988,False
5.6-9,5.1.3-1.1,H,0.8154991948470208,497,250,1.988,False
5.6-9,5.2.1-4.1,H,0.8145330112721417,497,250,1.988,False
5.12-3,5.1.2-4,H,0.8142512077294686,497,250,1.988,False
5.3-1,5.4.1-1,H,0.8136876006441224,497,250,1.988,True
5.11-1,5.3.1-2.2,H,0.8135668276972625,497,250,1.988,False
5.4-4,5.1.3-4,H,0.8135265700483092,497,250,1.988,False
5.13-1B,5.1.3-1,H,0.8130434782608695,497,250,1.988,False
5.5-6,5.1.2-5,H,0.8130032206119162,497,250,1.988,False
5.11-3,5.3.1-1,H,0.8122785829307568,497,250,1.988,False
5.3-11,5.3.1-1,H,0.812037037037037,497,250,1.988,False
5.13-1A,5.1.2-6,H,0.8110305958132045,497,250,1.988,False
5.2-3,5.3.1-2,H,0.8076086956521739,497,250,1.988,False
5.12-1,5.2.3-1,H,0.8067230273752013,497,250,1.988,False
5.3-3,5.2.1-4.1,H,0.8065619967793882,497,250,1.988,False
5.2-1,5.2.1-4.1,H,0.8052737520128824,497,250,1.988,False
5.2-1,5.3.1-3,H,0.80414653784219,497,250,1.988,False
5.7-2,5.2.1-4.1,H,0.8039452495974236,497,250,1.988,False
5.3-14,5.2.1-4.1,H,0.8037842190016103,497,250,1.988,False
5.11-4,5.5.1-2,H,0.803462157809984,497,250,1.988,False
5.12-3,5.4.1-1,H,0.8031803542673106,497,250,1.988,False
5.5-1,5.2.4-1.1,H,0.8030193236714975,497,250,1.988,False
5.13-1A,5.4.2-1,H,0.802415458937198,497,250,1.988,False
5.3-11,5.1.3-1.1,H,0.8022544283413848,497,250,1.988,False
5.6-9,5.1.1-2,H,0.8020933977455715,497,250,1.988,False
5.2-3,5.4.2-2,H,0.8020531400966183,497,250,1.988,True
5.4-4,5.2.2-2,H,0.8013687600644122,497,250,1.988,False
5.5-1,5.1.2-1,H,0.8006441223832528,497,250,1.988,False
5.8-1,5.1.2-6,H,0.8001610305958133,497,250,1.988,False
5.0-1,5.1.2-4,H,0.7995571658615137,497,250,1.988,False
5.12-3,5.4.2-4,H,0.7994363929146537,497,250,1.988,False
5.2-3,5.3.1-2.2,H,0.7991143317230274,497,250,1.988,False
5.6-1,5.2.1-4,H,0.7991143317230274,497,250,1.988,False
5.5-8,5.3.1-2,H,0.7990338164251207,497,250,1.988,False
5.3-13,5.1.2-7,H,0.7983494363929148,497,250,1.988,False
5.5-8,5.1.2-1,H,0.7979871175523349,497,250,1.988,False
5.6-5,5.3.1-2,H,0.7965780998389694,497,250,1.988,False
5.6-2,5.5.1-1,H,0.7961352657004831,497,250,1.988,False
5.8-2,5.1.2-6,H,0.7957326892109501,497,250,1.988,False
5.7-2,5.2.3-2,H,0.7953703703703704,497,250,1.988,False
5.2-1,5.2.4-2,H,0.7952898550724637,497,250,1.988,False
5.5-5,5.2.2-6,H,0.7947665056360709,497,250,1.988,False
5.7-2,5.3.1-3,H,0.7946859903381642,497,250,1.988,False
5.12-2,5.2.3-1,H,0.7946457326892109,497,250,1.988,False
5.5-1,5.5.1-1,H,0.7940418679549113,497,250,1.988,False
5.12-2,5.1.1-2,H,0.7936392914653785,497,250,1.988,False
5.6-1,5.2.3-2,H,0.7929951690821256,497,250,1.988,False
5.12-2,5.2.4-1,H,0.7928341384863125,497,250,1.988,False
5.12-2,5.4.1-2,H,0.7927133655394525,497,250,1.988,False
5.12-1,5.3.1-3,H,0.7925925925925925,497,250,1.988,False
5.3-3,5.2.3-4,H,0.7923107890499195,497,250,1.988,False
5.10-1,5.1.3-1,H,0.7918679549114331,497,250,1.988,False
5.4-2,5.3.1-1,H,0.7917069243156201,497,250,1.988,False
5.5-8,5.4.1-1,H,0.7904589371980676,497,250,1.988,False
5.3-16,5.3.1-1,H,0.7901771336553944,497,250,1.988,False
5.6-9,5.2.4-1,H,0.7900161030595813,497,250,1.988,False
5.6-2,5.4.2-3,H,0.7898148148148147,497,250,1.988,False
5.12-3,5.2.4-3,H,0.789573268921095,497,250,1.988,False
5.6-7,5.2.2-3,H,0.7890096618357487,497,250,1.988,True
5.6-8,5.1.3-1,H,0.7884863123993558,497,250,1.988,False
5.5-8,5.1.3-2,H,0.788123993558776,497,250,1.988,False
5.5-2,5.4.1-1.1,H,0.7876409017713366,497,250,1.988,False
5.8-2,5.1.3-1.1,H,0.7869162640901772,497,250,1.988,False
5.1-3,5.1.2-4,H,0.7868760064412239,497,250,1.988,False
5.0-1,5.2.4-2.1,H,0.7866747181964574,497,250,1.988,False
5.12-2,5.4.1-1.1,H,0.7864331723027376,497,250,1.988,False
5.5-2,5.4.2-4,H,0.7856280193236714,497,250,1.988,False
5.12-2,5.2.1-4,H,0.7848631239935587,497,250,1.988,False
5.5-7,5.2.2-2,H,0.7847020933977455,497,250,1.988,False
5.12-1,5.4.2-4,H,0.7823671497584541,497,250,1.988,False
5.12-2,5.3.1-2.1,H,0.7823268921095008,497,250,1.988,True
5.3-10,5.1.4-4,H,0.7822463768115944,497,250,1.988,False
5.6-9,5.5.1-1,H,0.7822061191626409,497,250,1.988,False
5.5-2,5.1.4-4,H,0.7818438003220612,497,250,1.988,False
5.3-8,5.2.4-3,H,0.7810789049919485,497,250,1.988,False
5.4-4,5.1.3-1.2,H,0.7807568438003221,497,250,1.988,False
5.0-1,5.2.4-1.2,H,0.7797504025764896,497,250,1.988,False
5.3-13,5.2.5-1,H,0.7797101449275361,497,250,1.988,False
5.3-8,5.1.2-4,H,0.7793880837359098,497,250,1.988,False
5.3-6B,5.2.1-4.1,H,0.7789855072463769,497,250,1.988,False
5.12-3,5.1.3-1.1,H,0.7782206119162641,497,250,1.988,False
5.8-3,5.3.1-3,H,0.7773349436392915,497,250,1.988,False
5.3-11,5.3.1-3,H,0.7772946859903381,497,250,1.988,False
5.4-4,5.1.1-1,H,0.7770128824476651,497,250,1.988,False
5.3-10,5.1.2-7,H,0.7765700483091788,497,250,1.988,False
5.1-4,5.3.1-2.2,H,0.7761272141706924,497,250,1.988,False
5.5-1,5.3.1-2.2,H,0.7761272141706924,497,250,1.988,False
5.6-5,5.3.1-2.1,H,0.7754428341384864,497,250,1.988,False
5.1-2,5.3.1-1,H,0.7754025764895329,497,250,1.988,False
5.5-2,5.1.2-6,H,0.7752415458937197,497,250,1.988,False
5.5-5,5.3.1-2,H,0.7751207729468599,497,250,1.988,False
5.7-2,5.4.1-2,H,0.7747987117552335,497,250,1.988,False
5.5-1,5.4.2-3,H,0.774597423510467,497,250,1.988,False
5.11-2,5.5.1-2,H,0.7735104669887278,497,250,1.988,True
5.1-3,5.3.1-2,H,0.772584541062802,497,250,1.988,False
5.5-5,5.2.1-4,H,0.7719806763285024,497,250,1.988,False
5.2-2,5.2.4-1.1,H,0.7718196457326892,497,250,1.988,False
5.5-8,5.3.1-2.1,H,0.7713768115942029,497,250,1.988,False
5.3-7,5.2.3-1,M,0.7693236714975845,1490,200,7.45,False
5.9-1,5.2.1-3,M,0.7662640901771336,1490,200,7.45,True
5.3-4B,5.5.1-1,M,0.7655394524959742,1490,200,7.45,False
5.4-4,5.3.1-1,M,0.7642512077294686,1490,200,7.45,False
5.5-5,5.3.1-3,M,0.763888888888889,1490,200,7.45,False
5.13-1B,5.1.2-3,M,0.7626811594202898,1490,200,7.45,False
5.6-9,5.2.5-2,M,0.7618357487922706,1490,200,7.45,False
5.2-2,5.2.4-3,M,0.7602657004830918,1490,200,7.45,False
5.3-13,5.2.2-6,M,0.756159420289855,1490,200,7.45,False
5.3-14,5.4.1-2,M,0.7559178743961353,1490,200,7.45,False
5.3-8,5.2.1-2,M,0.7552334943639292,1490,200,7.45,False
5.2-1,5.3.1-2,M,0.7546296296296295,1490,200,7.45,False
5.0-1,5.2.2-4,M,0.7504830917874397,1490,200,7.45,False
5.3-4B,5.1.3-4,M,0.7501207729468599,1490,200,7.45,False
5.5-8,5.1.1-1,M,0.7497181964573268,1490,200,7.45,False
5.5-5,5.5.1-1,M,0.7487117552334943,1490,200,7.45,False
5.1-1,5.2.1-4,M,0.7480676328502416,1490,200,7.45,False
5.12-2,5.2.3-2.2,M,0.7470209339774557,1490,200,7.45,False
5.13-1A,5.1.2-3,M,0.7437600644122383,1490,200,7.45,False
5.3-11,5.1.2-1,M,0.7424315619967794,1490,200,7.45,False
5.6-9,5.2.3-3,M,0.7419887278582931,1490,200,7.45,False
5.3-3,5.4.1-1,M,0.7412238325281804,1490,200,7.45,False
5.11-2,5.5.1-1,M,0.740499194847021,1490,200,7.45,False
5.8-3,5.1.3-2,M,0.7392914653784219,1490,200,7.45,False
5.12-3,5.3.1-2.1,M,0.7382850241545894,1490,200,7.45,False
5.2-2,5.4.1-1.1,M,0.7376811594202899,1490,200,7.45,False
5.2-2,5.1.2-1,M,0.7374194847020934,1490,200,7.45,False
5.6-3,5.2.1-4.1,M,0.7372383252818036,1490,200,7.45,False
5.13-1B,5.2.1-2,M,0.7360305958132044,1490,200,7.45,False
5.5-1,5.3.1-2,M,0.7325281803542673,1490,200,7.45,False
5.5-8,5.1.4-3,M,0.7323268921095009,1490,200,7.45,False
5.5-5,5.2.2-2,M,0.7316022544283414,1490,200,7.45,False
5.8-1,5.1.2-4,M,0.7301127214170693,1490,200,7.45,False
5.6-2,5.2.4-2,M,0.7299919484702093,1490,200,7.45,False
5.2-1,5.1.3-1.1,M,0.7294685990338163,1490,200,7.45,False
5.1-2,5.1.2-2,M,0.7287439613526571,1490,200,7.45,False
5.3-8,5.1.3-3,M,0.7246376811594202,1490,200,7.45,False
5.11-1,5.2.3-4,M,0.7232286634460547,1490,200,7.45,False
5.5-1,5.3.1-1,M,0.7220611916264089,1490,200,7.45,False
5.3-4B,5.4.1-3,M,0.7196054750402576,1490,200,7.45,False
5.3-6B,5.1.4-5,M,0.7177133655394525,1490,200,7.45,False
5.6-4A,5.2.1-4,M,0.7173107890499195,1490,200,7.45,False
5.3-5,5.4.2-3,M,0.7171497584541063,1490,200,7.45,False
5.0-1,5.4.2-4,M,0.7170289855072464,1490,200,7.45,False
5.1-2,5.1.4-3,M,0.7161030595813205,1490,200,7.45,False
5.1-3,5.1.1-2,M,0.715499194847021,1490,200,7.45,False
5.3-10,5.1.2-4,M,0.7154589371980677,1490,200,7.45,False
5.2-2,5.2.3-2,M,0.7112721417069243,1490,200,7.45,False
5.4-4,5.3.1-2,M,0.7086553945249597,1490,200,7.45,False
5.12-3,5.1.2-7,M,0.7079307568438002,1490,200,7.45,False
5.5-5,5.4.1-1,M,0.7067632850241546,1490,200,7.45,False
5.8-1,5.1.1-2.2,M,0.7052737520128826,1490,200,7.45,False
5.0-1,5.2.2-6,M,0.7046698872785829,1490,200,7.45,False
5.3-6B,5.2.1-4,M,0.7037037037037036,1490,200,7.45,False
5.13-1B,5.2.3-2.1,M,0.7031400966183574,1490,200,7.45,False
5.5-1,5.1.2-2,M,0.7030193236714976,1490,200,7.45,False
5.3-12,5.4.1-1,M,0.6995571658615136,1490,200,7.45,False
5.3-1,5.4.1-2,M,0.6976650563607085,1490,200,7.45,False
5.3-7,5.4.1-1,M,0.6975845410628019,1490,200,7.45,True
5.13-1B,5.4.1-1,M,0.6974637681159421,1490,200,7.45,False
5.5-5,5.1.4-4,M,0.6964170692431562,1490,200,7.45,False
5.5-2,5.4.2-1,M,0.694243156199678,1490,200,7.45,False
5.5-8,5.5.1-1,M,0.6938808373590982,1490,200,7.45,False
5.12-2,5.2.2-4,M,0.6931561996779388,1490,200,7.45,False
5.5-2,5.2.2-3,M,0.6896135265700483,1490,200,7.45,False
5.3-14,5.1.3-4,M,0.6891304347826088,1490,200,7.45,False
5.6-5,5.2.2-6,M,0.6882850241545895,1490,200,7.45,False
5.4-3,5.2.4-1.2,M,0.6881642512077295,1490,200,7.45,False
5.12-2,5.1.3-1.2,M,0.687157809983897,1490,200,7.45,False
5.3-6B,5.1.4-1,M,0.6861916264090177,1490,200,7.45,False
5.3-8,5.2.3-2,M,0.6853864734299517,1490,200,7.45,False
5.5-6,5.1.2-4,M,0.6849436392914654,1490,200,7.45,False
5.5-2,5.2.5-3,M,0.6843800322061192,1490,200,7.45,False
5.3-14,5.2.3-1,M,0.6835346215780997,1490,200,7.45,False
5.12-1,5.4.1-1,M,0.682206119162641,1490,200,7.45,False
5.6-3,5.2.3-2.1,M,0.6818840579710145,1490,200,7.45,False
