src_id,tgt_id,bert_score,predicted_rel
5.0-1,5.2.1-4.1,0.9113,EQUIVALENCE
5.0-1,5.2.3-2.1,0.9108,EQUIVALENCE
5.8-3,5.1.3-4,0.9081,EQUIVALENCE
5.0-1,5.2.5-4.1,0.9078,EQUIVALENCE
5.0-1,5.3.1-3,0.9071,EQUIVALENCE
5.0-1,5.2.2-6,0.9054,EQUIVALENCE
5.8-3,5.3.1-3,0.9053,EQUIVALENCE
5.8-3,5.2.5-4.1,0.9049,EQUIVALENCE
5.3-11,5.3.1-2.2,0.9049,EQUIVALENCE
5.12-2,5.1.3-2,0.9045,EQUIVALENCE
5.8-3,5.4.2-4,0.903,EQUIVALENCE
5.0-1,5.3.1-1,0.9023,EQUIVALENCE
5.0-1,5.4.2-4,0.9009,EQUIVALENCE
5.4-4,5.1.2-6,0.9003,EQUIVALENCE
5.0-1,5.1.3-2,0.8999,EQUIVALENCE
5.0-1,5.1.3-4,0.8987,EQUIVALENCE
5.6-1,5.1.2-6,0.8983,EQUIVALENCE
5.12-3,5.3.1-1,0.897,EQUIVALENCE
5.3-11,5.1.3-2,0.8962,EQUIVALENCE
5.3-8,5.2.5-4.1,0.8956,EQUIVALENCE
5.2-2,5.3.1-3,0.8949,EQUIVALENCE
5.12-2,5.4.2-4,0.8938,EQUIVALENCE
5.3-6B,5.1.2-6,0.8931,EQUIVALENCE
5.5-2,5.2.5-4.1,0.8929,EQUIVALENCE
5.7-2,5.5.1-1,0.8926,EQUIVALENCE
5.12-2,5.2.5-4.1,0.8925,EQUIVALENCE
5.2-2,5.2.5-4.1,0.8919,EQUIVALENCE
5.8-3,5.2.1-4.1,0.8918,EQUIVALENCE
5.0-1,5.1.2-4,0.8918,EQUIVALENCE
5.12-2,5.3.1-1,0.8916,EQUIVALENCE
5.12-2,5.2.1-4.1,0.8914,EQUIVALENCE
5.5-1,5.4.2-4,0.891,EQUIVALENCE
5.8-3,5.1.3-2,0.8907,EQUIVALENCE
5.7-2,5.2.2-2,0.8904,EQUIVALENCE
5.0-1,5.2.3-2,0.8902,EQUIVALENCE
5.6-3,5.2.2-2,0.89,EQUIVALENCE
5.6-4A,5.2.2-2,0.89,EQUIVALENCE
5.5-1,5.2.5-4.1,0.8899,EQUIVALENCE
5.5-1,5.1.3-2,0.8894,EQUIVALENCE
5.5-5,5.1.2-6,0.8891,EQUIVALENCE
5.3-4B,5.4.2-2,0.889,EQUIVALENCE
5.3-14,5.2.4-1,0.8888,EQUIVALENCE
5.6-4A,5.1.2-6,0.8884,EQUIVALENCE
5.3-8,5.1.3-2,0.8882,EQUIVALENCE
5.3-4B,5.2.2-2,0.8879,EQUIVALENCE
5.6-1,5.2.2-2,0.8879,EQUIVALENCE
5.3-3,5.2.2-2,0.8875,EQUIVALENCE
5.0-1,5.2.2-3,0.8875,EQUIVALENCE
5.0-1,5.1.3-1.3,0.8874,EQUIVALENCE
5.3-4B,5.5.1-1,0.8872,EQUIVALENCE
5.2-3,5.1.4-3,0.8871,EQUIVALENCE
5.3-13,5.3.1-1,0.8869,EQUIVALENCE
5.3-6B,5.2.2-2,0.8866,EQUIVALENCE
5.0-1,5.1.2-6,0.8864,EQUIVALENCE
5.7-2,5.1.2-6,0.8862,EQUIVALENCE
5.3-6B,5.1.3-2,0.8861,EQUIVALENCE
5.6-9,5.3.1-3,0.886,EQUIVALENCE
5.2-2,5.1.3-2,0.8858,EQUIVALENCE
5.12-2,5.5.1-1,0.8857,EQUIVALENCE
5.12-2,5.3.1-2,0.8857,EQUIVALENCE
5.7-1,5.5.1-1,0.8856,EQUIVALENCE
5.2-3,5.2.5-1,0.8856,EQUIVALENCE
