src_id,tgt_id,bge_score,predicted_rel
5.3-11,5.3.1-2.2,0.7644,OVERLAP
5.2-1,5.2.2-4,0.7513,OVERLAP
5.3-8,5.4.1-1,0.7401,OVERLAP
5.3-11,5.4.1-1,0.733,OVERLAP
5.3-11,5.2.3-4,0.7287,OVERLAP
5.3-11,5.1.1-2.1,0.7206,OVERLAP
5.8-3,5.2.2-4,0.7174,OVERLAP
5.3-2,5.4.1-1.1,0.7151,OVERLAP
5.3-11,5.2.4-1.1,0.7137,OVERLAP
5.5-8,5.2.3-1,0.7108,OVERLAP
5.9-2,5.2.1-3.1,0.7106,OVERLAP
5.6-9,5.2.1-2,0.7072,OVERLAP
5.2-3,5.4.2-4,0.7067,OVERLAP
5.3-4A,5.4.1-1.1,0.7026,OVERLAP
5.3-8,5.1.1-2.1,0.7023,OVERLAP
5.6-9,5.2.3-1,0.6955,COMPLEMENTARITY
5.3-11,5.2.2-4,0.6937,COMPLEMENTARITY
5.11-3,5.5.1-2,0.6928,COMPLEMENTARITY
5.3-5,5.4.2-4,0.6927,COMPLEMENTARITY
5.0-1,5.2.1-4.1,0.6917,COMPLEMENTARITY
5.3-5,5.4.1-1,0.6913,COMPLEMENTARITY
5.5-6,5.1.2-5,0.6898,COMPLEMENTARITY
5.3-11,5.1.4-4,0.6883,COMPLEMENTARITY
5.3-4A,5.4.1-1,0.6871,COMPLEMENTARITY
5.10-1,5.4.2-2,0.6864,COMPLEMENTARITY
5.8-3,5.2.3-2.2,0.6831,COMPLEMENTARITY
5.8-3,5.3.1-2.2,0.6817,COMPLEMENTARITY
5.2-3,5.4.2-3,0.6813,COMPLEMENTARITY
5.6-9,5.2.4-1,0.6807,COMPLEMENTARITY
5.2-3,5.4.2-2,0.68,COMPLEMENTARITY
5.6-7,5.1.2-5,0.6799,COMPLEMENTARITY
5.5-8,5.1.3-1.1,0.6786,COMPLEMENTARITY
5.3-5,5.1.4-4,0.6776,COMPLEMENTARITY
5.3-6B,5.4.1-1,0.6773,COMPLEMENTARITY
5.3-11,5.1.2-7,0.676,COMPLEMENTARITY
5.6-9,5.1.3-1.2,0.6758,COMPLEMENTARITY
5.10-1,5.4.2-4,0.6752,COMPLEMENTARITY
5.3-1,5.4.1-1.1,0.6751,COMPLEMENTARITY
5.3-11,5.4.1-2,0.6743,COMPLEMENTARITY
5.3-11,5.1.2-5,0.6736,COMPLEMENTARITY
5.11-4,5.1.4-4,0.6726,COMPLEMENTARITY
5.13-1A,5.1.4-4,0.6723,COMPLEMENTARITY
5.2-3,5.2.3-1,0.6717,COMPLEMENTARITY
5.7-2,5.2.1-3.1,0.6705,COMPLEMENTARITY
5.3-5,5.2.1-3.1,0.67,COMPLEMENTARITY
5.13-1A,5.1.2-2,0.6694,COMPLEMENTARITY
5.3-11,5.4.2-4,0.6689,COMPLEMENTARITY
5.2-2,5.1.3-1.1,0.6684,COMPLEMENTARITY
5.6-9,5.1.2-4,0.6681,COMPLEMENTARITY
5.3-1,5.2.4-1.2,0.6678,COMPLEMENTARITY
5.1-5,5.4.1-1.1,0.6674,COMPLEMENTARITY
5.3-7,5.2.4-1.2,0.6674,COMPLEMENTARITY
5.6-8,5.2.2-2,0.6673,COMPLEMENTARITY
5.5-6,5.2.1-4.2,0.6672,COMPLEMENTARITY
5.3-11,5.1.2-5.1,0.6661,COMPLEMENTARITY
5.11-4,5.2.1-3.1,0.6656,COMPLEMENTARITY
5.2-3,5.2.1-2,0.6655,COMPLEMENTARITY
5.3-11,5.1.3-2,0.6653,COMPLEMENTARITY
5.13-1B,5.1.4-4,0.6653,COMPLEMENTARITY
5.8-2,5.1.2-5,0.665,COMPLEMENTARITY
5.9-3,5.2.1-3.1,0.6645,COMPLEMENTARITY
5.2-2,5.3.1-3,0.6639,COMPLEMENTARITY
5.13-1A,5.2.1-4.1,0.6635,COMPLEMENTARITY
5.13-1A,5.1.2-5,0.663,COMPLEMENTARITY
5.6-9,5.2.1-4.1,0.6625,COMPLEMENTARITY
5.3-4A,5.1.4-4,0.6624,COMPLEMENTARITY
5.6-4B,5.1.4-4,0.662,COMPLEMENTARITY
5.2-3,5.1.3-3,0.6619,COMPLEMENTARITY
5.6-7,5.1.2-6,0.6614,COMPLEMENTARITY
5.0-1,5.1.2-3,0.66,COMPLEMENTARITY
5.3-4A,5.2.3-1,0.6599,COMPLEMENTARITY
5.3-8,5.3.1-3,0.6595,COMPLEMENTARITY
5.4-1,5.1.2-5,0.6595,COMPLEMENTARITY
5.8-1,5.1.2-5,0.6586,COMPLEMENTARITY
5.6-9,5.3.1-3,0.6583,COMPLEMENTARITY
5.10-1,5.4.2-3,0.6573,COMPLEMENTARITY
5.2-3,5.1.2-5.1,0.6573,COMPLEMENTARITY
5.13-1B,5.1.2-5,0.6572,COMPLEMENTARITY
5.3-11,5.4.2-1,0.657,COMPLEMENTARITY
5.2-3,5.4.2-1,0.6569,COMPLEMENTARITY
5.9-3,5.2.1-1,0.6569,COMPLEMENTARITY
5.5-8,5.2.5-1,0.6566,COMPLEMENTARITY
5.3-4A,5.2.1-2,0.656,COMPLEMENTARITY
5.6-9,5.1.3-4,0.6559,COMPLEMENTARITY
5.3-5,5.4.2-3,0.6549,COMPLEMENTARITY
5.3-11,5.2.4-1,0.6547,COMPLEMENTARITY
5.13-1B,5.1.2-2,0.6537,COMPLEMENTARITY
5.3-11,5.2.1-3.1,0.6532,COMPLEMENTARITY
5.3-5,5.4.1-2,0.6526,COMPLEMENTARITY
5.3-4A,5.3.1-2.2,0.6526,COMPLEMENTARITY
5.8-2,5.2.1-4,0.6523,COMPLEMENTARITY
5.6-9,5.1.1-2.2,0.6523,COMPLEMENTARITY
5.5-8,5.1.2-5,0.6521,COMPLEMENTARITY
5.3-12,5.4.1-1,0.6519,COMPLEMENTARITY
5.8-3,5.2.4-1,0.6519,COMPLEMENTARITY
5.3-11,5.1.1-2,0.6518,COMPLEMENTARITY
5.3-11,5.2.4-3,0.6514,COMPLEMENTARITY
5.3-11,5.4.1-1.1,0.6509,COMPLEMENTARITY
5.3-4B,5.4.1-1,0.6506,COMPLEMENTARITY
5.0-1,5.3.1-3,0.6499,COMPLEMENTARITY
5.3-4A,5.2.3-4,0.6497,COMPLEMENTARITY
5.3-5,5.2.5-1,0.6497,COMPLEMENTARITY
5.3-11,5.2.5-1,0.6492,COMPLEMENTARITY
5.3-4A,5.4.1-2,0.6481,COMPLEMENTARITY
5.5-8,5.1.4-4,0.6479,COMPLEMENTARITY
5.3-4A,5.4.2-3,0.6479,COMPLEMENTARITY
5.3-15B,5.4.1-1.1,0.6476,COMPLEMENTARITY
5.5-8,5.2.1-2,0.6475,COMPLEMENTARITY
5.6-4A,5.2.2-2,0.6474,COMPLEMENTARITY
5.0-1,5.1.3-1,0.6473,COMPLEMENTARITY
5.3-11,5.1.3-3,0.6473,COMPLEMENTARITY
5.10-1,5.1.4-4,0.6473,COMPLEMENTARITY
5.6-9,5.1.4-4,0.6471,COMPLEMENTARITY
5.9-3,5.2.2-6,0.6471,COMPLEMENTARITY
5.6-9,5.2.2-2,0.647,COMPLEMENTARITY
5.2-3,5.2.2-6,0.6467,COMPLEMENTARITY
5.4-4,5.2.4-1.2,0.6466,COMPLEMENTARITY
5.3-8,5.1.3-2,0.6466,COMPLEMENTARITY
5.4-4,5.1.3-1.2,0.6462,COMPLEMENTARITY
5.3-11,5.2.5-3,0.6461,COMPLEMENTARITY
5.6-9,5.4.1-1,0.6461,COMPLEMENTARITY
5.6-1,5.2.2-2,0.646,COMPLEMENTARITY
5.10-1,5.1.2-5,0.646,COMPLEMENTARITY
5.2-3,5.2.1-1,0.646,COMPLEMENTARITY
5.0-1,5.2.3-2,0.6459,COMPLEMENTARITY
5.0-1,5.2.4-3,0.6452,COMPLEMENTARITY
5.5-8,5.2.1-1,0.6451,COMPLEMENTARITY
5.4-4,5.4.1-1.1,0.645,COMPLEMENTARITY
5.6-7,5.4.1-1.1,0.6449,COMPLEMENTARITY
5.11-4,5.1.2-5,0.6443,COMPLEMENTARITY
5.6-9,5.2.5-1,0.6441,COMPLEMENTARITY
5.3-7,5.2.3-1,0.6441,COMPLEMENTARITY
5.6-7,5.1.4-4,0.644,COMPLEMENTARITY
5.3-10,5.4.1-1,0.644,COMPLEMENTARITY
5.3-11,5.3.1-3,0.6438,COMPLEMENTARITY
5.0-1,5.1.3-2,0.6433,COMPLEMENTARITY
5.6-4B,5.2.5-2,0.6429,COMPLEMENTARITY
5.11-1,5.5.1-2,0.6422,COMPLEMENTARITY
5.2-3,5.1.2-2,0.6421,COMPLEMENTARITY
5.3-10,5.2.2-6,0.6419,COMPLEMENTARITY
5.8-1,5.2.1-4,0.6419,COMPLEMENTARITY
5.3-11,5.2.3-2.1,0.6419,COMPLEMENTARITY
5.5-2,5.2.1-4.1,0.6416,COMPLEMENTARITY
5.13-1A,5.1.4-5,0.6415,COMPLEMENTARITY
5.11-4,5.5.1-2,0.6415,COMPLEMENTARITY
5.6-7,5.2.1-4,0.6414,COMPLEMENTARITY
5.3-11,5.4.2-3,0.6412,COMPLEMENTARITY
5.3-4A,5.2.2-4,0.6411,COMPLEMENTARITY
5.6-9,5.4.1-1.1,0.6409,COMPLEMENTARITY
5.3-15A,5.2.1-3.1,0.6404,COMPLEMENTARITY
5.3-14,5.2.3-4,0.6403,COMPLEMENTARITY
5.3-13,5.2.3-4,0.6401,COMPLEMENTARITY
5.6-9,5.4.2-4,0.64,COMPLEMENTARITY
5.0-1,5.2.2-2,0.6399,COMPLEMENTARITY
5.13-1B,5.2.1-4.1,0.6397,COMPLEMENTARITY
5.6-9,5.2.4-1.2,0.6396,COMPLEMENTARITY
5.4-3,5.2.2-2,0.6395,COMPLEMENTARITY
5.3-5,5.2.3-4,0.6394,COMPLEMENTARITY
5.6-9,5.1.2-3,0.6392,COMPLEMENTARITY
5.0-1,5.1.3-1.2,0.639,COMPLEMENTARITY
5.3-4A,5.1.1-2.1,0.6387,COMPLEMENTARITY
5.3-14,5.4.1-1.1,0.6387,COMPLEMENTARITY
5.13-1A,5.2.1-4,0.6385,COMPLEMENTARITY
5.3-9,5.4.1-1,0.6384,COMPLEMENTARITY
5.9-3,5.1.2-5,0.6384,COMPLEMENTARITY
5.3-6A,5.4.1-1.1,0.638,COMPLEMENTARITY
5.3-4A,5.4.2-4,0.6378,COMPLEMENTARITY
5.0-1,5.2.4-1.1,0.6378,COMPLEMENTARITY
5.1-5,5.1.3-1.2,0.6378,COMPLEMENTARITY
5.5-8,5.1.2-4,0.6378,COMPLEMENTARITY
5.5-3,5.2.4-1.2,0.6378,COMPLEMENTARITY
5.3-15A,5.4.1-1.1,0.6377,COMPLEMENTARITY
5.6-9,5.4.1-2,0.6376,COMPLEMENTARITY
5.3-11,5.3.1-2.1,0.6373,COMPLEMENTARITY
5.3-4A,5.2.4-1.2,0.6372,COMPLEMENTARITY
5.1-5,5.2.2-2,0.637,COMPLEMENTARITY
5.2-3,5.3.1-3,0.6366,COMPLEMENTARITY
5.3-11,5.2.2-6,0.6366,COMPLEMENTARITY
5.13-1A,5.3.1-3,0.6362,COMPLEMENTARITY
5.3-10,5.2.3-1,0.6361,COMPLEMENTARITY
5.3-4A,5.1.2-5,0.6361,COMPLEMENTARITY
5.3-4A,5.2.1-3.1,0.6359,COMPLEMENTARITY
5.3-11,5.2.3-2.2,0.6358,COMPLEMENTARITY
5.2-3,5.4.1-1,0.6355,COMPLEMENTARITY
5.3-4A,5.1.1-2.2,0.6353,COMPLEMENTARITY
5.0-1,5.2.4-1,0.6351,COMPLEMENTARITY
5.3-8,5.2.3-4,0.635,COMPLEMENTARITY
5.4-2,5.2.1-4,0.6347,COMPLEMENTARITY
5.4-1,5.2.1-4,0.6345,COMPLEMENTARITY
5.2-3,5.1.3-4,0.6337,COMPLEMENTARITY
5.3-10,5.1.2-7,0.6335,COMPLEMENTARITY
5.2-3,5.1.4-4,0.6333,COMPLEMENTARITY
5.6-9,5.1.3-1,0.6331,COMPLEMENTARITY
5.2-2,5.2.2-4,0.6331,COMPLEMENTARITY
5.3-4A,5.1.2-2,0.633,COMPLEMENTARITY
5.3-11,5.1.3-1.1,0.6327,COMPLEMENTARITY
5.3-11,5.1.2-1,0.6327,COMPLEMENTARITY
5.3-11,5.1.4-5,0.6326,COMPLEMENTARITY
5.3-6A,5.4.1-1,0.6324,COMPLEMENTARITY
5.0-1,5.1.3-1.1,0.6322,COMPLEMENTARITY
5.3-11,5.1.1-1,0.6322,COMPLEMENTARITY
5.3-11,5.2.1-1,0.6322,COMPLEMENTARITY
5.3-5,5.1.2-7,0.6321,COMPLEMENTARITY
5.4-4,5.2.1-4.1,0.6321,COMPLEMENTARITY
5.3-1,5.2.5-1,0.6317,COMPLEMENTARITY
5.3-14,5.2.4-1,0.6316,COMPLEMENTARITY
5.5-1,5.1.3-1.2,0.6315,COMPLEMENTARITY
5.2-3,5.1.2-5,0.6315,COMPLEMENTARITY
5.4-4,5.2.1-2,0.6314,COMPLEMENTARITY
5.6-9,5.5.1-1,0.6311,COMPLEMENTARITY
5.8-2,5.2.1-4.2,0.6308,COMPLEMENTARITY
5.3-7,5.1.2-5,0.6307,COMPLEMENTARITY
5.2-3,5.2.5-1,0.6305,COMPLEMENTARITY
5.13-1A,5.2.5-2,0.6304,COMPLEMENTARITY
5.5-8,5.2.3-2.1,0.6304,COMPLEMENTARITY
5.5-8,5.4.2-4,0.6304,COMPLEMENTARITY
5.6-9,5.2.4-3,0.6302,COMPLEMENTARITY
5.6-2,5.1.3-2,0.63,COMPLEMENTARITY
5.3-13,5.2.4-1,0.6299,COMPLEMENTARITY
5.13-1B,5.3.1-3,0.6299,COMPLEMENTARITY
5.11-3,5.1.2-5,0.6299,COMPLEMENTARITY
5.5-2,5.3.1-1,0.6298,COMPLEMENTARITY
5.3-4A,5.1.4-1,0.6298,COMPLEMENTARITY
5.13-1A,5.2.4-3,0.6297,COMPLEMENTARITY
5.3-9,5.2.1-4.1,0.6297,COMPLEMENTARITY
5.4-4,5.1.1-2.2,0.6297,COMPLEMENTARITY
5.6-4B,5.2.1-3.1,0.6296,COMPLEMENTARITY
5.6-7,5.2.1-2,0.6295,COMPLEMENTARITY
5.3-6A,5.2.3-4,0.6293,COMPLEMENTARITY
5.3-4A,5.1.3-1.2,0.6291,COMPLEMENTARITY
5.3-4A,5.1.1-1,0.629,COMPLEMENTARITY
5.6-7,5.2.1-3.1,0.629,COMPLEMENTARITY
5.3-5,5.3.1-2.2,0.6288,COMPLEMENTARITY
5.6-7,5.2.3-2.1,0.6286,COMPLEMENTARITY
5.13-1B,5.2.1-4,0.628,COMPLEMENTARITY
5.2-3,5.1.2-4,0.628,COMPLEMENTARITY
5.6-9,5.1.3-2,0.6276,COMPLEMENTARITY
5.12-2,5.3.1-3,0.6276,COMPLEMENTARITY
5.13-1A,5.4.2-2,0.6275,COMPLEMENTARITY
5.3-10,5.2.4-1.2,0.6274,COMPLEMENTARITY
5.3-5,5.2.4-3,0.6268,COMPLEMENTARITY
5.3-11,5.2.1-2,0.6267,COMPLEMENTARITY
5.3-4A,5.1.3-1.1,0.6267,COMPLEMENTARITY
5.13-1B,5.2.5-2,0.6265,COMPLEMENTARITY
5.4-1,5.2.2-4,0.6264,COMPLEMENTARITY
5.6-9,5.1.3-1.1,0.6263,COMPLEMENTARITY
5.3-2,5.1.3-1.2,0.6262,COMPLEMENTARITY
5.3-10,5.2.1-1,0.6262,COMPLEMENTARITY
5.12-2,5.1.3-2,0.6262,COMPLEMENTARITY
5.13-1B,5.4.2-2,0.6259,COMPLEMENTARITY
5.2-3,5.1.3-1.1,0.6258,COMPLEMENTARITY
5.6-7,5.2.2-1,0.6258,COMPLEMENTARITY
5.4-4,5.1.2-5,0.6254,COMPLEMENTARITY
5.4-1,5.1.4-4,0.6253,COMPLEMENTARITY
5.4-2,5.1.2-5,0.6253,COMPLEMENTARITY
5.8-2,5.2.2-4,0.6252,COMPLEMENTARITY
5.6-9,5.2.2-3,0.6252,COMPLEMENTARITY
5.2-3,5.4.1-2,0.6251,COMPLEMENTARITY
5.3-8,5.4.1-2,0.6248,COMPLEMENTARITY
5.13-1A,5.1.2-6,0.6246,COMPLEMENTARITY
5.4-4,5.2.1-4,0.6246,COMPLEMENTARITY
5.3-1,5.4.1-1,0.6246,COMPLEMENTARITY
5.4-4,5.2.3-1,0.6245,COMPLEMENTARITY
5.11-3,5.2.1-3.1,0.6244,COMPLEMENTARITY
5.3-10,5.1.3-3,0.6243,COMPLEMENTARITY
5.13-1B,5.4.2-1,0.6243,COMPLEMENTARITY
5.8-1,5.2.1-4.2,0.6243,COMPLEMENTARITY
5.11-4,5.2.4-1,0.6242,COMPLEMENTARITY
5.3-5,5.2.4-1,0.6241,COMPLEMENTARITY
5.13-1A,5.4.2-4,0.6237,COMPLEMENTARITY
5.3-4B,5.4.1-1.1,0.6237,COMPLEMENTARITY
5.7-2,5.2.4-3,0.6237,COMPLEMENTARITY
5.5-6,5.2.1-4,0.6236,COMPLEMENTARITY
5.5-6,5.1.4-4,0.6235,COMPLEMENTARITY
5.3-14,5.4.1-1,0.6231,COMPLEMENTARITY
5.6-7,5.4.1-1,0.623,COMPLEMENTARITY
5.13-1A,5.4.2-1,0.6228,COMPLEMENTARITY
5.3-13,5.2.1-4.1,0.6226,COMPLEMENTARITY
5.5-6,5.2.2-4,0.6226,COMPLEMENTARITY
5.13-1A,5.2.5-3,0.6225,COMPLEMENTARITY
5.2-2,5.1.3-1,0.6224,COMPLEMENTARITY
5.5-3,5.1.2-2,0.6223,COMPLEMENTARITY
5.2-1,5.2.4-1.1,0.6223,COMPLEMENTARITY
5.3-11,5.2.4-1.2,0.6222,COMPLEMENTARITY
5.0-1,5.3.1-2.1,0.6219,COMPLEMENTARITY
5.3-4B,5.2.2-2,0.6219,COMPLEMENTARITY
5.0-1,5.1.3-4,0.6219,COMPLEMENTARITY
5.2-2,5.1.1-2,0.6219,COMPLEMENTARITY
5.3-12,5.3.1-3,0.6216,COMPLEMENTARITY
5.4-4,5.2.2-2,0.6216,COMPLEMENTARITY
5.3-10,5.1.4-4,0.6214,COMPLEMENTARITY
5.2-3,5.2.3-2.1,0.6212,COMPLEMENTARITY
5.3-4B,5.2.1-4.1,0.6211,COMPLEMENTARITY
5.2-1,5.2.4-3,0.621,COMPLEMENTARITY
5.12-2,5.4.1-1,0.621,COMPLEMENTARITY
5.3-5,5.2.5-2,0.621,COMPLEMENTARITY
5.3-4A,5.2.1-4.2,0.6208,COMPLEMENTARITY
5.6-7,5.2.1-4.2,0.6208,COMPLEMENTARITY
5.1-2,5.2.1-4,0.6206,COMPLEMENTARITY
5.3-11,5.1.2-4,0.6203,COMPLEMENTARITY
5.6-4B,5.2.5-3,0.6203,COMPLEMENTARITY
5.3-15B,5.2.1-3.1,0.6203,COMPLEMENTARITY
5.3-14,5.4.1-3,0.6201,COMPLEMENTARITY
5.3-12,5.2.4-3,0.62,COMPLEMENTARITY
5.3-4A,5.5.1-2,0.6195,COMPLEMENTARITY
5.3-3,5.4.1-1,0.6195,COMPLEMENTARITY
5.10-1,5.2.5-3,0.6195,COMPLEMENTARITY
5.13-1B,5.4.2-4,0.6195,COMPLEMENTARITY
5.5-8,5.1.2-1,0.6193,COMPLEMENTARITY
5.6-9,5.2.3-2.1,0.6192,COMPLEMENTARITY
5.8-3,5.2.1-1,0.6192,COMPLEMENTARITY
5.8-3,5.2.3-4,0.6191,COMPLEMENTARITY
5.2-1,5.2.4-2.1,0.6191,COMPLEMENTARITY
5.0-1,5.1.2-5,0.619,COMPLEMENTARITY
5.3-1,5.2.3-1,0.619,COMPLEMENTARITY
5.5-3,5.5.1-2,0.6189,COMPLEMENTARITY
5.13-1A,5.2.5-1,0.6189,COMPLEMENTARITY
5.12-2,5.1.3-4,0.6187,COMPLEMENTARITY
5.3-4A,5.2.1-3,0.6187,COMPLEMENTARITY
5.3-8,5.4.2-4,0.6186,COMPLEMENTARITY
5.6-7,5.2.2-4,0.6186,COMPLEMENTARITY
5.6-4B,5.2.4-1,0.6186,COMPLEMENTARITY
5.2-3,5.2.2-1,0.6185,COMPLEMENTARITY
5.13-1A,5.2.5-4.1,0.6185,COMPLEMENTARITY
5.4-4,5.1.2-2,0.6183,COMPLEMENTARITY
5.2-3,5.1.3-1,0.6182,COMPLEMENTARITY
5.3-9,5.2.4-1.2,0.6182,COMPLEMENTARITY
5.12-1,5.1.2-5,0.6181,COMPLEMENTARITY
