src_id,tgt_id,cysecbert_score,predicted_rel
5.0-1,5.2.1-4.1,0.9254,EQUIVALENCE
5.0-1,5.3.1-1,0.9222,EQUIVALENCE
5.4-4,5.1.2-6,0.9186,EQUIVALENCE
5.0-1,5.1.2-6,0.9185,EQUIVALENCE
5.0-1,5.1.3-2,0.918,EQUIVALENCE
5.12-2,5.2.4-3,0.9159,EQUIVALENCE
5.0-1,5.1.2-3,0.9155,EQUIVALENCE
5.4-4,5.2.1-2,0.9135,EQUIVALENCE
5.3-14,5.2.4-3,0.9121,EQUIVALENCE
5.12-2,5.1.3-2,0.9119,EQUIVALENCE
5.3-6B,5.2.4-3,0.9119,EQUIVALENCE
5.0-1,5.1.2-1,0.9117,EQUIVALENCE
5.3-4B,5.2.4-3,0.9117,EQUIVALENCE
5.1-2,5.1.2-6,0.9114,EQUIVALENCE
5.5-5,5.1.2-6,0.9112,EQUIVALENCE
5.4-4,5.1.3-4,0.9112,EQUIVALENCE
5.3-8,5.1.3-2,0.9109,EQUIVALENCE
5.0-1,5.2.2-3,0.9103,EQUIVALENCE
5.0-1,5.1.2-7,0.9101,EQUIVALENCE
5.5-1,5.1.3-4,0.9098,EQUIVALENCE
5.6-9,5.2.4-3,0.9096,EQUIVALENCE
5.1-3,5.1.2-6,0.9091,EQUIVALENCE
5.5-2,5.1.4-1,0.9082,EQUIVALENCE
5.6-9,5.2.2-3,0.9081,EQUIVALENCE
5.4-4,5.2.2-3,0.9077,EQUIVALENCE
5.6-9,5.2.1-2,0.9074,EQUIVALENCE
5.3-4B,5.2.2-2,0.9072,EQUIVALENCE
5.3-13,5.3.1-1,0.907,EQUIVALENCE
5.0-1,5.1.3-1.3,0.907,EQUIVALENCE
5.6-9,5.2.1-4.1,0.9067,EQUIVALENCE
5.3-6B,5.1.3-2,0.9064,EQUIVALENCE
5.12-3,5.3.1-1,0.9062,EQUIVALENCE
5.0-1,5.3.1-3,0.9057,EQUIVALENCE
5.3-4B,5.5.1-1,0.9054,EQUIVALENCE
5.3-4B,5.1.3-2,0.9053,EQUIVALENCE
5.6-3,5.2.2-2,0.9052,EQUIVALENCE
5.6-1,5.2.2-3,0.9048,EQUIVALENCE
5.12-2,5.5.1-1,0.9046,EQUIVALENCE
5.1-2,5.2.2-2,0.9045,EQUIVALENCE
5.1-2,5.5.1-1,0.9041,EQUIVALENCE
5.7-2,5.2.4-3,0.9039,EQUIVALENCE
5.3-8,5.3.1-1,0.9039,EQUIVALENCE
5.0-1,5.2.3-2,0.9038,EQUIVALENCE
5.3-4B,5.1.3-4,0.9035,EQUIVALENCE
5.3-6B,5.2.2-2,0.9033,EQUIVALENCE
5.3-4B,5.2.2-3,0.9027,EQUIVALENCE
5.2-2,5.1.3-2,0.9026,EQUIVALENCE
5.8-2,5.1.2-6,0.9026,EQUIVALENCE
5.7-2,5.2.2-2,0.9025,EQUIVALENCE
5.6-9,5.1.2-6,0.9024,EQUIVALENCE
5.6-4A,5.2.2-3,0.9023,EQUIVALENCE
5.3-8,5.1.2-6,0.9022,EQUIVALENCE
5.8-1,5.1.2-6,0.902,EQUIVALENCE
5.6-9,5.2.3-2,0.902,EQUIVALENCE
5.6-1,5.3.1-1,0.902,EQUIVALENCE
5.6-9,5.1.3-2,0.9016,EQUIVALENCE
5.2-2,5.1.1-2,0.9014,EQUIVALENCE
5.5-2,5.1.2-6,0.9014,EQUIVALENCE
5.0-1,5.1.1-2,0.9013,EQUIVALENCE
5.1-1,5.1.2-6,0.9013,EQUIVALENCE
5.12-2,5.3.1-2,0.9011,EQUIVALENCE
5.4-4,5.5.1-1,0.901,EQUIVALENCE
5.3-14,5.3.1-2,0.901,EQUIVALENCE
5.6-9,5.2.2-2,0.9009,EQUIVALENCE
5.5-1,5.2.2-3,0.9004,EQUIVALENCE
5.0-1,5.1.3-4,0.9004,EQUIVALENCE
5.3-6B,5.1.3-4,0.9003,EQUIVALENCE
5.3-6B,5.5.1-1,0.9003,EQUIVALENCE
5.12-1,5.1.3-4,0.9002,EQUIVALENCE
5.12-2,5.1.3-4,0.9002,EQUIVALENCE
5.5-2,5.1.2-1.1,0.9002,EQUIVALENCE
5.3-8,5.2.2-3,0.9,EQUIVALENCE
5.3-6B,5.2.1-4.1,0.8998,EQUIVALENCE
5.3-4B,5.2.1-4.1,0.8997,EQUIVALENCE
5.1-2,5.2.4-3,0.8994,EQUIVALENCE
5.7-2,5.5.1-1,0.8993,EQUIVALENCE
5.4-4,5.1.2-3,0.8993,EQUIVALENCE
5.8-1,5.1.2-5,0.8992,EQUIVALENCE
5.5-2,5.3.1-2,0.8992,EQUIVALENCE
5.3-14,5.2.4-2.1,0.8992,EQUIVALENCE
5.3-4B,5.1.2-6,0.8991,EQUIVALENCE
5.2-2,5.3.1-3,0.899,EQUIVALENCE
5.3-8,5.2.1-4.1,0.8989,EQUIVALENCE
5.6-2,5.3.1-1,0.8989,EQUIVALENCE
5.8-2,5.1.2-5,0.8989,EQUIVALENCE
5.8-3,5.1.2-1.1,0.8988,EQUIVALENCE
5.3-4B,5.2.1-2,0.8987,EQUIVALENCE
5.12-3,5.5.1-1,0.8987,EQUIVALENCE
5.3-8,5.1.1-2,0.8987,EQUIVALENCE
5.6-9,5.5.1-1,0.8983,EQUIVALENCE
5.6-1,5.1.2-6,0.8982,EQUIVALENCE
5.3-8,5.2.4-3,0.898,EQUIVALENCE
5.3-6B,5.1.2-6,0.898,EQUIVALENCE
5.5-2,5.1.2-4,0.898,EQUIVALENCE
5.12-3,5.1.3-2,0.8978,EQUIVALENCE
5.8-3,5.1.4-4,0.8978,EQUIVALENCE
5.0-1,5.3.1-2,0.8976,EQUIVALENCE
5.1-1,5.2.4-3,0.8976,EQUIVALENCE
5.12-2,5.2.2-3,0.8975,EQUIVALENCE
5.4-4,5.2.4-3,0.8973,EQUIVALENCE
5.3-8,5.3.1-3,0.8973,EQUIVALENCE
5.12-3,5.2.4-3,0.8972,EQUIVALENCE
5.5-5,5.2.4-3,0.8971,EQUIVALENCE
5.12-2,5.3.1-1,0.8971,EQUIVALENCE
5.12-2,5.2.1-4.1,0.8967,EQUIVALENCE
5.6-1,5.1.3-2,0.8967,EQUIVALENCE
5.12-2,5.2.1-2,0.8966,EQUIVALENCE
5.0-1,5.1.2-4,0.8965,EQUIVALENCE
5.8-3,5.1.2-6,0.8963,EQUIVALENCE
5.0-1,5.2.4-3,0.8963,EQUIVALENCE
5.2-3,5.2.1-2,0.8961,EQUIVALENCE
5.5-2,5.2.2-2,0.8961,EQUIVALENCE
5.3-14,5.3.1-1,0.8961,EQUIVALENCE
5.6-9,5.1.3-4,0.8959,EQUIVALENCE
5.3-14,5.1.2-3,0.8958,EQUIVALENCE
5.5-1,5.1.2-6,0.8957,EQUIVALENCE
5.3-6B,5.2.2-3,0.8956,EQUIVALENCE
5.3-6B,5.3.1-2,0.8956,EQUIVALENCE
5.0-1,5.2.2-2,0.8953,EQUIVALENCE
5.3-8,5.2.2-2,0.8953,EQUIVALENCE
5.1-4,5.1.2-6,0.8953,EQUIVALENCE
5.6-4A,5.2.2-2,0.8952,EQUIVALENCE
5.0-1,5.2.4-1.1,0.8952,EQUIVALENCE
5.5-2,5.1.3-4,0.8951,EQUIVALENCE
5.11-2,5.5.1-1,0.8949,EQUIVALENCE
5.4-4,5.1.3-2,0.8948,EQUIVALENCE
5.3-3,5.2.2-2,0.8946,EQUIVALENCE
5.6-4A,5.1.2-6,0.8946,EQUIVALENCE
5.3-6B,5.3.1-1,0.8946,EQUIVALENCE
5.12-3,5.1.2-3,0.8946,EQUIVALENCE
5.3-14,5.1.2-1.1,0.8946,EQUIVALENCE
5.6-1,5.2.2-2,0.8945,EQUIVALENCE
5.5-2,5.4.2-3,0.8945,EQUIVALENCE
5.12-3,5.1.2-6,0.8944,EQUIVALENCE
5.7-2,5.1.2-6,0.8943,EQUIVALENCE
5.6-5,5.1.2-6,0.8943,EQUIVALENCE
5.1-5,5.2.2-2,0.8942,EQUIVALENCE
5.6-9,5.3.1-2,0.8941,EQUIVALENCE
5.3-4B,5.3.1-1,0.894,EQUIVALENCE
5.5-1,5.1.3-2,0.8939,EQUIVALENCE
5.3-14,5.1.2-6,0.8939,EQUIVALENCE
5.5-2,5.2.5-2.1,0.8938,EQUIVALENCE
5.5-2,5.2.5-3,0.8938,EQUIVALENCE
5.6-9,5.4.1-3,0.8937,EQUIVALENCE
5.0-1,5.2.3-2.1,0.8937,EQUIVALENCE
5.5-7,5.2.2-2,0.8936,EQUIVALENCE
5.11-2,5.1.2-6,0.8936,EQUIVALENCE
5.8-3,5.2.3-2.2,0.8936,EQUIVALENCE
5.3-14,5.2.4-1,0.8934,EQUIVALENCE
5.5-2,5.3.1-3,0.8934,EQUIVALENCE
5.0-1,5.2.5-1,0.8933,EQUIVALENCE
5.4-4,5.2.3-2,0.8932,EQUIVALENCE
5.5-2,5.5.1-1,0.8932,EQUIVALENCE
5.12-1,5.1.4-5,0.893,EQUIVALENCE
5.3-4B,5.1.2-3,0.8929,EQUIVALENCE
5.3-8,5.2.4-2,0.8928,EQUIVALENCE
5.4-4,5.3.1-2,0.8928,EQUIVALENCE
5.6-9,5.3.1-1,0.8927,EQUIVALENCE
5.3-8,5.1.3-4,0.8927,EQUIVALENCE
5.2-1,5.3.1-3,0.8926,EQUIVALENCE
5.0-1,5.3.1-2.1,0.8925,EQUIVALENCE
5.5-2,5.2.5-4,0.8924,EQUIVALENCE
5.5-2,5.2.1-2,0.8923,EQUIVALENCE
5.3-6A,5.3.1-2,0.8923,EQUIVALENCE
5.2-1,5.1.3-2,0.8922,EQUIVALENCE
5.6-3,5.1.2-6,0.8922,EQUIVALENCE
5.12-2,5.1.2-3,0.8921,EQUIVALENCE
5.12-3,5.3.1-2,0.8921,EQUIVALENCE
5.13-1B,5.1.2-6,0.892,EQUIVALENCE
5.13-1A,5.1.2-6,0.892,EQUIVALENCE
5.3-8,5.3.1-2,0.892,EQUIVALENCE
5.3-13,5.2.3-2,0.8919,EQUIVALENCE
5.3-6B,5.2.3-2,0.8917,EQUIVALENCE
5.4-4,5.1.4-3,0.8916,EQUIVALENCE
5.3-14,5.2.3-2,0.8916,EQUIVALENCE
5.12-3,5.2.2-3,0.8916,EQUIVALENCE
5.5-2,5.2.2-3,0.8916,EQUIVALENCE
5.5-1,5.1.1-2,0.8916,EQUIVALENCE
5.3-11,5.1.3-2,0.8916,EQUIVALENCE
5.0-1,5.1.2-5,0.8913,EQUIVALENCE
5.0-1,5.1.3-1.1,0.8912,EQUIVALENCE
5.4-4,5.2.1-4.1,0.8912,EQUIVALENCE
5.5-1,5.2.1-4.1,0.8912,EQUIVALENCE
5.4-2,5.1.2-6,0.8911,EQUIVALENCE
5.3-14,5.1.3-2,0.8911,EQUIVALENCE
5.6-9,5.1.2-3,0.8911,EQUIVALENCE
5.3-6A,5.2.4-3,0.8911,EQUIVALENCE
5.7-2,5.2.2-3,0.891,EQUIVALENCE
5.2-2,5.1.2-3,0.891,EQUIVALENCE
5.6-1,5.1.3-4,0.891,EQUIVALENCE
5.6-2,5.1.2-6,0.8909,EQUIVALENCE
5.5-5,5.2.3-2,0.8909,EQUIVALENCE
5.11-4,5.3.1-1,0.8908,EQUIVALENCE
5.4-4,5.1.2-4,0.8907,EQUIVALENCE
5.6-4A,5.3.1-1,0.8907,EQUIVALENCE
5.3-4B,5.3.1-3,0.8906,EQUIVALENCE
5.11-4,5.2.1-4.1,0.8906,EQUIVALENCE
5.11-2,5.3.1-2,0.8905,EQUIVALENCE
5.3-4B,5.3.1-2,0.8905,EQUIVALENCE
5.2-2,5.2.4-2,0.8905,EQUIVALENCE
5.12-2,5.2.2-2,0.8903,EQUIVALENCE
5.5-5,5.2.2-3,0.8902,EQUIVALENCE
5.2-2,5.2.2-3,0.8902,EQUIVALENCE
5.7-2,5.1.3-2,0.8902,EQUIVALENCE
5.12-3,5.1.3-4,0.89,EQUIVALENCE
5.3-3,5.3.1-1,0.8899,EQUIVALENCE
5.7-2,5.1.3-4,0.8898,EQUIVALENCE
5.6-9,5.2.2-1,0.8898,EQUIVALENCE
5.5-2,5.3.1-1,0.8897,EQUIVALENCE
5.5-2,5.1.4-3,0.8897,EQUIVALENCE
5.6-9,5.3.1-3,0.8896,EQUIVALENCE
5.3-14,5.2.2-3,0.8896,EQUIVALENCE
5.4-4,5.2.2-2,0.8896,EQUIVALENCE
5.5-1,5.2.2-2,0.8893,EQUIVALENCE
5.5-8,5.1.2-3,0.8893,EQUIVALENCE
5.4-3,5.2.4-3,0.8893,EQUIVALENCE
5.6-2,5.1.2-1.1,0.8892,EQUIVALENCE
5.10-1,5.1.2-1.1,0.8891,EQUIVALENCE
5.6-1,5.2.3-2,0.889,EQUIVALENCE
5.12-2,5.1.2-6,0.8887,EQUIVALENCE
5.5-2,5.1.3-1.2,0.8887,EQUIVALENCE
5.3-4B,5.2.3-2,0.8887,EQUIVALENCE
5.8-3,5.3.1-2,0.8887,EQUIVALENCE
5.3-8,5.1.2-3,0.8887,EQUIVALENCE
5.5-1,5.2.1-2,0.8886,EQUIVALENCE
5.6-1,5.2.4-3,0.8886,EQUIVALENCE
5.6-3,5.5.1-1,0.8886,EQUIVALENCE
5.6-1,5.3.1-2,0.8885,EQUIVALENCE
