src_id,tgt_id,gemini_embed_score,predicted_rel
5.2-1,5.2.2-4,0.8712,EQUIVALENCE
5.3-13,5.3.1-2.2,0.8137,OVERLAP
5.3-11,5.3.1-2.2,0.8136,OVERLAP
5.3-14,5.3.1-2.2,0.8128,OVERLAP
5.3-8,5.4.1-1,0.8018,OVERLAP
5.3-13,5.4.1-1,0.8016,OVERLAP
5.12-3,5.2.1-4.1,0.7994,OVERLAP
5.3-11,5.4.1-1,0.7987,OVERLAP
5.8-2,5.2.1-4,0.7969,OVERLAP
5.12-3,5.2.5-4.1,0.7938,OVERLAP
5.6-9,5.2.3-1,0.7921,OVERLAP
5.4-4,5.2.3-1,0.7905,OVERLAP
5.11-4,5.4.2-4,0.7904,OVERLAP
5.3-1,5.4.1-1,0.7901,OVERLAP
5.3-8,5.3.1-2.2,0.7901,OVERLAP
5.3-14,5.2.2-4,0.7898,OVERLAP
5.3-14,5.4.1-1,0.7896,OVERLAP
5.5-8,5.2.3-1,0.789,OVERLAP
5.3-13,5.2.2-4,0.7884,OVERLAP
5.3-4B,5.4.1-1,0.7877,OVERLAP
5.2-3,5.4.1-1,0.7866,OVERLAP
5.3-10,5.4.1-1,0.7861,OVERLAP
5.2-3,5.2.2-4,0.7857,OVERLAP
5.13-1B,5.2.1-4.1,0.7856,OVERLAP
5.8-2,5.2.1-4.2,0.7849,OVERLAP
5.4-4,5.4.1-1,0.7829,OVERLAP
5.3-12,5.3.1-2.2,0.7819,OVERLAP
5.6-9,5.2.2-6,0.7817,OVERLAP
5.3-2,5.4.1-1,0.7806,OVERLAP
5.2-2,5.2.2-4,0.7806,OVERLAP
5.2-1,5.4.1-1,0.7785,OVERLAP
5.3-7,5.4.1-1,0.7772,OVERLAP
5.5-8,5.1.3-1,0.7771,OVERLAP
5.3-4B,5.3.1-3,0.777,OVERLAP
5.10-1,5.4.2-3,0.7763,OVERLAP
5.6-9,5.3.1-3,0.7761,OVERLAP
5.6-9,5.1.2-4,0.776,OVERLAP
5.3-1,5.3.1-2.2,0.7758,OVERLAP
5.3-3,5.3.1-2.2,0.7754,OVERLAP
5.5-8,5.2.1-2,0.7748,OVERLAP
5.3-10,5.2.3-1,0.7744,OVERLAP
5.3-3,5.4.1-1,0.7744,OVERLAP
5.3-4B,5.3.1-2.2,0.7744,OVERLAP
5.2-3,5.1.3-1,0.7739,OVERLAP
5.5-8,5.1.3-1.1,0.7732,OVERLAP
5.4-4,5.1.3-1,0.7728,OVERLAP
5.3-13,5.3.1-1,0.7725,OVERLAP
5.4-1,5.2.1-4,0.7722,OVERLAP
5.11-4,5.3.1-3,0.7714,OVERLAP
5.4-4,5.2.1-2,0.7714,OVERLAP
5.3-14,5.3.1-1,0.7714,OVERLAP
5.8-1,5.2.1-4.2,0.7712,OVERLAP
5.13-1B,5.2.5-1,0.771,OVERLAP
5.3-2,5.4.1-1.1,0.7704,OVERLAP
5.6-9,5.1.4-5,0.7698,OVERLAP
5.8-1,5.2.1-4,0.7694,OVERLAP
5.3-12,5.4.1-1,0.7694,OVERLAP
5.12-3,5.1.4-5,0.7691,OVERLAP
5.6-8,5.2.2-1,0.7685,OVERLAP
5.11-3,5.3.1-1,0.7681,OVERLAP
5.3-4B,5.4.1-1.1,0.7681,OVERLAP
5.5-2,5.2.5-1,0.7681,OVERLAP
5.3-6A,5.4.1-1,0.768,OVERLAP
5.6-7,5.1.2-6,0.7678,OVERLAP
5.2-1,5.1.3-1,0.7674,OVERLAP
5.2-1,5.2.5-1,0.7669,OVERLAP
5.3-14,5.4.1-1.1,0.7663,OVERLAP
5.3-13,5.2.3-2.2,0.7663,OVERLAP
5.2-1,5.4.1-1.1,0.7655,OVERLAP
5.3-2,5.3.1-2.2,0.7654,OVERLAP
5.5-7,5.2.1-4.2,0.7651,OVERLAP
5.3-14,5.3.1-2,0.7649,OVERLAP
5.2-3,5.3.1-3,0.7649,OVERLAP
5.3-4B,5.4.1-2,0.7648,OVERLAP
5.12-2,5.3.1-2.2,0.7647,OVERLAP
5.11-4,5.1.4-5,0.7645,OVERLAP
5.3-13,5.3.1-2,0.7641,OVERLAP
5.2-3,5.4.2-3,0.7639,OVERLAP
5.4-4,5.4.1-1.1,0.7638,OVERLAP
5.4-4,5.3.1-2.2,0.7636,OVERLAP
5.5-8,5.2.2-4,0.7634,OVERLAP
5.2-1,5.2.1-1,0.7633,OVERLAP
5.6-9,5.2.5-4.1,0.7631,OVERLAP
5.2-1,5.2.3-1,0.7626,OVERLAP
5.8-3,5.2.5-4.1,0.7625,OVERLAP
5.5-2,5.2.3-1,0.7624,OVERLAP
5.3-10,5.3.1-2.2,0.7623,OVERLAP
5.4-4,5.1.2-2,0.762,OVERLAP
5.3-6A,5.3.1-2.2,0.762,OVERLAP
5.4-4,5.2.5-1,0.7617,OVERLAP
5.5-8,5.4.1-1,0.7617,OVERLAP
5.6-9,5.2.1-2,0.7616,OVERLAP
5.3-2,5.2.3-1,0.7616,OVERLAP
5.3-5,5.4.1-1,0.7609,OVERLAP
5.3-6B,5.4.1-1,0.7605,OVERLAP
5.7-2,5.2.1-4,0.7603,OVERLAP
5.3-14,5.2.3-2.2,0.7603,OVERLAP
5.3-6B,5.3.1-2.2,0.7602,OVERLAP
5.6-4A,5.2.5-1,0.7601,OVERLAP
5.2-3,5.1.1-2,0.7598,OVERLAP
5.1-3,5.2.1-2,0.7597,OVERLAP
5.3-7,5.2.3-1,0.7596,OVERLAP
5.3-1,5.4.1-2,0.7595,OVERLAP
5.7-2,5.2.5-4.1,0.7594,OVERLAP
5.2-1,5.1.3-2,0.7593,OVERLAP
5.2-3,5.4.1-2,0.7593,OVERLAP
5.3-2,5.2.2-4,0.7592,OVERLAP
