src_id,tgt_id,predicted_rel
5.0-1,5.1.1-1,COMPLEMENTARITY
5.0-1,5.1.1-1.1,OVERLAP
5.0-1,5.1.1-2,OVERLAP
5.0-1,5.1.1-2.1,OVERLAP
5.0-1,5.1.1-2.2,COMPLEMENTARITY
5.0-1,5.1.2-1,COMPLEMENTARITY
5.0-1,5.1.2-1.1,COMPLEMENTARITY
5.0-1,5.1.2-2,OVERLAP
5.0-1,5.1.2-3,COMPLEMENTARITY
5.0-1,5.1.2-4,OVERLAP
5.0-1,5.1.2-5,NO_RELATION
5.0-1,5.1.2-5.1,OVERLAP
5.0-1,5.1.2-6,COMPLEMENTARITY
5.0-1,5.1.2-7,COMPLEMENTARITY
5.0-1,5.1.3-1,COMPLEMENTARITY
5.0-1,5.1.3-1.1,OVERLAP
5.0-1,5.1.3-1.2,COMPLEMENTARITY
5.0-1,5.1.3-1.3,COMPLEMENTARITY
5.0-1,5.1.3-2,OVERLAP
5.0-1,5.1.3-3,OVERLAP
5.0-1,5.1.3-4,COMPLEMENTARITY
5.0-1,5.1.4-1,COMPLEMENTARITY
5.0-1,5.1.4-2,COMPLEMENTARITY
5.0-1,5.1.4-3,COMPLEMENTARITY
5.0-1,5.1.4-4,COMPLEMENTARITY
5.0-1,5.1.4-5,COMPLEMENTARITY
5.0-1,5.2.1-1,COMPLEMENTARITY
5.0-1,5.2.1-2,COMPLEMENTARITY
5.0-1,5.2.1-3,COMPLEMENTARITY
5.0-1,5.2.1-3.1,COMPLEMENTARITY
5.0-1,5.2.1-4,COMPLEMENTARITY
5.0-1,5.2.1-4.1,COMPLEMENTARITY
5.0-1,5.2.1-4.2,OVERLAP
5.0-1,5.2.2-1,OVERLAP
5.0-1,5.2.2-2,COMPLEMENTARITY
5.0-1,5.2.2-3,COMPLEMENTARITY
5.0-1,5.2.2-4,COMPLEMENTARITY
5.0-1,5.2.2-5,COMPLEMENTARITY
5.0-1,5.2.2-6,COMPLEMENTARITY
5.0-1,5.2.3-1,COMPLEMENTARITY
