src_id,tgt_id,mpnet_score,predicted_rel
5.3-11,5.3.1-2.2,0.8162,OVERLAP
5.2-1,5.2.2-4,0.7695,OVERLAP
5.3-8,5.4.1-1,0.6847,COMPLEMENTARITY
5.3-11,5.4.1-1,0.6714,COMPLEMENTARITY
5.3-11,5.2.3-4,0.6481,COMPLEMENTARITY
5.3-11,5.1.1-2.1,0.6198,COMPLEMENTARITY
5.3-8,5.3.1-2.2,0.6167,COMPLEMENTARITY
5.3-8,5.1.1-2.1,0.598,COMPLEMENTARITY
5.3-11,5.2.2-4,0.5953,COMPLEMENTARITY
5.3-4A,5.4.1-1.1,0.5926,COMPLEMENTARITY
5.0-1,5.2.3-2,0.5796,COMPLEMENTARITY
5.3-11,5.4.1-1.1,0.5786,COMPLEMENTARITY
5.3-11,5.3.1-3,0.5719,COMPLEMENTARITY
5.6-9,5.2.3-1,0.561,COMPLEMENTARITY
5.5-6,5.1.2-5,0.557,COMPLEMENTARITY
5.2-2,5.2.2-4,0.5546,COMPLEMENTARITY
5.2-1,5.2.3-2.2,0.5546,COMPLEMENTARITY
5.2-2,5.4.1-1,0.5499,COMPLEMENTARITY
5.5-6,5.2.4-1.1,0.5487,COMPLEMENTARITY
5.11-1,5.5.1-2,0.5472,COMPLEMENTARITY
5.6-7,5.1.2-6,0.5459,COMPLEMENTARITY
5.6-5,5.2.2-6,0.5453,COMPLEMENTARITY
5.2-1,5.4.1-1,0.5451,COMPLEMENTARITY
5.6-7,5.2.1-4,0.5442,COMPLEMENTARITY
5.11-3,5.5.1-2,0.542,COMPLEMENTARITY
5.5-6,5.2.1-4,0.5417,COMPLEMENTARITY
5.3-13,5.4.1-1,0.5413,COMPLEMENTARITY
5.2-1,5.3.1-2.2,0.5411,COMPLEMENTARITY
5.2-1,5.2.4-1.1,0.5367,COMPLEMENTARITY
5.3-13,5.3.1-2.2,0.5365,COMPLEMENTARITY
5.3-4A,5.2.1-2,0.5347,COMPLEMENTARITY
5.3-8,5.4.1-1.1,0.5339,COMPLEMENTARITY
5.13-1A,5.1.2-5,0.5339,COMPLEMENTARITY
5.3-12,5.3.1-2.2,0.5289,COMPLEMENTARITY
5.3-11,5.2.4-1.1,0.5242,COMPLEMENTARITY
5.2-2,5.3.1-3,0.5229,COMPLEMENTARITY
5.3-8,5.3.1-3,0.5226,COMPLEMENTARITY
5.3-13,5.2.3-4,0.5219,COMPLEMENTARITY
5.2-1,5.2.3-2,0.5214,COMPLEMENTARITY
5.0-1,5.1.3-2,0.5206,COMPLEMENTARITY
5.3-4A,5.1.1-2.1,0.5205,COMPLEMENTARITY
5.3-11,5.1.1-2,0.5195,COMPLEMENTARITY
5.13-1A,5.3.1-1,0.5184,COMPLEMENTARITY
5.3-8,5.2.2-4,0.518,COMPLEMENTARITY
5.5-6,5.2.2-1,0.5172,COMPLEMENTARITY
5.6-9,5.4.1-1.1,0.5171,COMPLEMENTARITY
5.13-1A,5.1.4-4,0.5162,COMPLEMENTARITY
5.2-1,5.4.1-1.1,0.5158,COMPLEMENTARITY
5.3-11,5.4.1-2,0.5158,COMPLEMENTARITY
5.11-4,5.5.1-2,0.5154,COMPLEMENTARITY
5.2-1,5.2.4-1,0.5141,COMPLEMENTARITY
5.3-11,5.1.3-2,0.5133,COMPLEMENTARITY
5.11-2,5.5.1-2,0.5098,COMPLEMENTARITY
5.3-11,5.1.4-4,0.5088,COMPLEMENTARITY
5.3-4B,5.4.1-1,0.5083,COMPLEMENTARITY
5.3-11,5.2.3-2.2,0.5083,COMPLEMENTARITY
5.6-9,5.2.1-2,0.5079,COMPLEMENTARITY
5.3-4A,5.4.1-1,0.5075,COMPLEMENTARITY
5.5-6,5.1.4-4,0.5073,COMPLEMENTARITY
5.3-12,5.4.1-1,0.5047,COMPLEMENTARITY
5.0-1,5.1.3-1,0.5018,COMPLEMENTARITY
5.3-4A,5.3.1-2.2,0.5014,COMPLEMENTARITY
5.6-7,5.2.2-1,0.5006,COMPLEMENTARITY
5.13-1B,5.1.2-5,0.498,NO_RELATION
5.3-11,5.1.1-1,0.4966,NO_RELATION
5.3-4A,5.2.3-1,0.4963,NO_RELATION
5.5-6,5.2.3-1,0.4961,NO_RELATION
5.6-9,5.2.4-1.2,0.4888,NO_RELATION
5.0-1,5.1.2-3,0.4886,NO_RELATION
5.6-7,5.2.2-3,0.4881,NO_RELATION
5.3-1,5.4.1-1.1,0.4879,NO_RELATION
5.5-8,5.1.3-1.1,0.4875,NO_RELATION
5.5-6,5.2.1-4.2,0.4867,NO_RELATION
5.13-1B,5.3.1-1,0.4863,NO_RELATION
5.3-13,5.2.2-4,0.486,NO_RELATION
5.13-1A,5.1.2-6,0.4859,NO_RELATION
5.2-1,5.1.2-4,0.4854,NO_RELATION
5.13-1B,5.1.4-4,0.4846,NO_RELATION
5.2-3,5.3.1-3,0.4839,NO_RELATION
5.3-4A,5.1.4-4,0.4826,NO_RELATION
5.4-4,5.2.4-1.2,0.4822,NO_RELATION
5.3-3,5.4.1-1,0.4822,NO_RELATION
5.9-1,5.2.1-3,0.4805,NO_RELATION
5.3-11,5.1.3-3,0.4802,NO_RELATION
5.3-8,5.4.2-4,0.4796,NO_RELATION
5.3-5,5.4.1-1,0.4795,NO_RELATION
5.3-4A,5.2.3-4,0.4789,NO_RELATION
5.13-1A,5.2.1-4,0.4788,NO_RELATION
5.6-9,5.1.2-4,0.4787,NO_RELATION
5.2-1,5.3.1-1,0.478,NO_RELATION
5.4-4,5.2.1-2,0.4778,NO_RELATION
5.5-6,5.1.3-3,0.4773,NO_RELATION
5.3-4B,5.4.1-1.1,0.4768,NO_RELATION
5.13-1A,5.2.1-4.1,0.4763,NO_RELATION
5.2-3,5.1.3-2,0.4758,NO_RELATION
5.2-1,5.1.1-2.1,0.4746,NO_RELATION
5.2-1,5.2.1-4,0.4742,NO_RELATION
5.2-2,5.3.1-2.2,0.474,NO_RELATION
5.12-3,5.1.4-4,0.474,NO_RELATION
5.3-11,5.2.4-1,0.4735,NO_RELATION
5.0-1,5.1.2-1,0.4732,NO_RELATION
5.0-1,5.1.3-3,0.473,NO_RELATION
5.2-1,5.2.3-2.1,0.4722,NO_RELATION
5.5-6,5.3.1-3,0.4717,NO_RELATION
5.13-1A,5.2.3-2,0.4713,NO_RELATION
5.5-6,5.3.1-2.2,0.4691,NO_RELATION
5.5-6,5.2.3-2,0.4683,NO_RELATION
5.12-3,5.3.1-2.2,0.468,NO_RELATION
5.5-6,5.2.3-2.1,0.4677,NO_RELATION
5.0-1,5.1.2-4,0.4676,NO_RELATION
5.0-1,5.1.3-1.1,0.4675,NO_RELATION
5.3-13,5.2.3-2.2,0.4673,NO_RELATION
5.2-3,5.4.2-4,0.4672,NO_RELATION
5.2-3,5.1.3-3,0.4666,NO_RELATION
5.0-1,5.2.4-1.1,0.4666,NO_RELATION
5.3-16,5.2.3-2,0.4665,NO_RELATION
5.2-1,5.3.1-3,0.4665,NO_RELATION
5.3-4B,5.3.1-2.2,0.4649,NO_RELATION
5.6-7,5.2.2-4,0.4643,NO_RELATION
5.3-4A,5.1.3-1.1,0.4639,NO_RELATION
5.6-9,5.4.1-1,0.4639,NO_RELATION
5.13-1A,5.3.1-2.1,0.4631,NO_RELATION
5.2-2,5.4.1-1.1,0.4629,NO_RELATION
5.13-1B,5.2.3-2,0.4626,NO_RELATION
5.13-1A,5.2.5-1,0.4624,NO_RELATION
5.2-1,5.2.3-4,0.4611,NO_RELATION
5.5-6,5.2.2-6,0.4608,NO_RELATION
5.3-11,5.1.3-1.1,0.4606,NO_RELATION
5.2-1,5.1.3-2,0.4599,NO_RELATION
5.6-9,5.2.2-1,0.4597,NO_RELATION
5.3-13,5.2.4-1,0.4582,NO_RELATION
5.7-2,5.4.1-1.1,0.4579,NO_RELATION
5.3-12,5.2.3-4,0.4579,NO_RELATION
5.0-1,5.1.1-2,0.4578,NO_RELATION
5.3-5,5.3.1-2.2,0.4577,NO_RELATION
5.5-6,5.4.1-1.1,0.4576,NO_RELATION
5.4-3,5.2.1-4,0.4574,NO_RELATION
5.6-7,5.1.2-5,0.4569,NO_RELATION
5.5-8,5.2.3-1,0.4567,NO_RELATION
5.13-1B,5.1.2-6,0.4558,NO_RELATION
5.6-7,5.1.4-4,0.4557,NO_RELATION
5.2-1,5.2.4-1.2,0.4552,NO_RELATION
5.3-4A,5.4.1-2,0.4551,NO_RELATION
5.5-8,5.2.3-2,0.4541,NO_RELATION
5.3-4A,5.2.4-1.1,0.4533,NO_RELATION
5.3-4A,5.2.2-4,0.4531,NO_RELATION
5.12-3,5.1.3-3,0.4526,NO_RELATION
5.3-11,5.1.3-1,0.4525,NO_RELATION
5.0-1,5.1.1-1,0.4524,NO_RELATION
5.6-9,5.2.5-1,0.4521,NO_RELATION
5.7-2,5.4.1-1,0.4518,NO_RELATION
5.2-3,5.1.1-2,0.451,NO_RELATION
5.2-1,5.3.1-2.1,0.4509,NO_RELATION
5.2-3,5.4.1-1.1,0.4505,NO_RELATION
5.3-11,5.1.2-5,0.45,NO_RELATION
5.3-9,5.1.4-4,0.4499,NO_RELATION
5.4-4,5.2.3-1,0.4492,NO_RELATION
5.3-4A,5.2.2-1,0.4491,NO_RELATION
5.3-11,5.1.4-3,0.449,NO_RELATION
5.3-3,5.3.1-2.2,0.4486,NO_RELATION
5.5-6,5.2.2-4,0.4484,NO_RELATION
5.2-1,5.2.2-1,0.4483,NO_RELATION
5.13-1B,5.3.1-2.1,0.4481,NO_RELATION
5.13-1A,5.1.4-5,0.4481,NO_RELATION
5.6-9,5.1.4-4,0.4474,NO_RELATION
5.6-5,5.2.3-2,0.4474,NO_RELATION
5.0-1,5.1.3-1.2,0.4469,NO_RELATION
5.5-8,5.2.2-6,0.4468,NO_RELATION
5.2-3,5.3.1-2.2,0.4465,NO_RELATION
5.3-11,5.4.2-1,0.4459,NO_RELATION
5.5-6,5.1.4-3,0.4453,NO_RELATION
5.6-9,5.2.3-2.1,0.4453,NO_RELATION
5.5-6,5.2.1-2,0.4452,NO_RELATION
5.8-3,5.2.3-2.2,0.4447,NO_RELATION
5.3-16,5.2.3-4,0.4446,NO_RELATION
5.13-1B,5.2.1-4,0.4443,NO_RELATION
5.4-3,5.2.4-1.2,0.4438,NO_RELATION
5.2-1,5.1.4-4,0.4438,NO_RELATION
5.6-9,5.1.1-2.2,0.4436,NO_RELATION
5.13-1A,5.2.5-2,0.443,NO_RELATION
5.2-1,5.1.3-3,0.443,NO_RELATION
5.6-7,5.1.3-1.2,0.4428,NO_RELATION
5.6-9,5.2.2-4,0.4426,NO_RELATION
5.13-1A,5.1.2-1.1,0.4422,NO_RELATION
5.3-13,5.2.3-2,0.4418,NO_RELATION
5.13-1A,5.1.2-4,0.4413,NO_RELATION
5.3-4B,5.3.1-3,0.4408,NO_RELATION
5.5-6,5.2.5-1,0.4408,NO_RELATION
5.5-6,5.2.4-1.2,0.4408,NO_RELATION
5.6-9,5.2.1-4.1,0.4406,NO_RELATION
5.6-9,5.2.4-1,0.4405,NO_RELATION
5.2-3,5.2.3-1,0.4405,NO_RELATION
5.13-1B,5.2.1-4.1,0.4403,NO_RELATION
5.6-9,5.2.1-4,0.4402,NO_RELATION
5.3-11,5.3.1-1,0.4402,NO_RELATION
5.4-4,5.4.1-2,0.4402,NO_RELATION
5.2-3,5.1.3-1,0.4394,NO_RELATION
5.4-3,5.1.3-1.2,0.4393,NO_RELATION
5.2-1,5.1.2-7,0.4392,NO_RELATION
5.2-1,5.2.5-3,0.4386,NO_RELATION
5.0-1,5.2.2-1,0.438,NO_RELATION
5.2-1,5.2.5-2,0.4379,NO_RELATION
5.13-1A,5.1.2-2,0.4379,NO_RELATION
5.11-4,5.1.4-4,0.4378,NO_RELATION
5.8-2,5.2.1-4,0.4375,NO_RELATION
5.5-2,5.2.4-1.2,0.4373,NO_RELATION
5.3-12,5.4.2-4,0.4373,NO_RELATION
5.3-10,5.2.4-1.2,0.4372,NO_RELATION
5.6-7,5.4.1-1.1,0.4369,NO_RELATION
5.12-2,5.2.3-1,0.4368,NO_RELATION
5.12-3,5.2.2-6,0.4368,NO_RELATION
5.2-3,5.2.2-6,0.4366,NO_RELATION
5.3-11,5.2.3-2.1,0.4366,NO_RELATION
5.2-1,5.1.4-3,0.4365,NO_RELATION
5.6-4A,5.2.2-2,0.4363,NO_RELATION
5.5-6,5.2.1-1,0.4362,NO_RELATION
5.5-8,5.2.4-1.2,0.4361,NO_RELATION
5.6-9,5.2.2-2,0.4358,NO_RELATION
5.5-8,5.2.3-2.1,0.4357,NO_RELATION
5.4-3,5.2.1-2,0.4354,NO_RELATION
5.3-4A,5.1.3-3,0.4354,NO_RELATION
5.6-9,5.1.3-1.2,0.4353,NO_RELATION
5.2-3,5.1.3-1.1,0.4351,NO_RELATION
5.2-1,5.2.5-1,0.4349,NO_RELATION
5.13-1A,5.2.3-4,0.4348,NO_RELATION
5.3-12,5.4.1-1.1,0.4345,NO_RELATION
5.0-1,5.2.3-1,0.4342,NO_RELATION
5.3-11,5.2.3-2,0.4339,NO_RELATION
5.12-2,5.2.1-2,0.4336,NO_RELATION
5.13-1A,5.2.5-4.1,0.4333,NO_RELATION
5.13-1B,5.2.1-3.1,0.4332,NO_RELATION
5.13-1A,5.2.3-2.1,0.4332,NO_RELATION
5.3-9,5.2.5-1,0.4332,NO_RELATION
5.3-8,5.2.3-4,0.4326,NO_RELATION
5.13-1B,5.2.5-1,0.4323,NO_RELATION
5.2-3,5.1.2-4,0.4322,NO_RELATION
5.3-13,5.2.5-2,0.4321,NO_RELATION
5.5-6,5.3.1-1,0.4321,NO_RELATION
5.13-1B,5.2.5-2,0.4317,NO_RELATION
5.3-11,5.4.2-4,0.4314,NO_RELATION
5.13-1A,5.1.2-3,0.4313,NO_RELATION
5.2-1,5.1.3-1,0.4313,NO_RELATION
5.10-1,5.4.2-4,0.4312,NO_RELATION
5.3-1,5.2.4-1.2,0.4299,NO_RELATION
5.5-6,5.2.4-1,0.4298,NO_RELATION
5.3-13,5.3.1-1,0.4297,NO_RELATION
