src_id,tgt_id,nli_score,p_src_entails_tgt,p_tgt_entails_src,predicted_rel
5.3-9,5.1.1-2.1,0.9934,0.0002,0.9934,SUBSUMPTION_A_BROADER
5.3-9,5.1.2-3,0.9922,0.9795,0.9922,EQUIVALENCE
5.3-9,5.2.5-2.1,0.9919,0.0104,0.9919,SUBSUMPTION_A_BROADER
5.3-9,5.2.1-2,0.9919,0.0018,0.9919,SUBSUMPTION_A_BROADER
5.3-9,5.1.2-1,0.9913,0.2333,0.9913,SUBSUMPTION_A_BROADER
5.3-9,5.4.1-3,0.9911,0.0267,0.9911,SUBSUMPTION_A_BROADER
5.3-9,5.2.1-4.1,0.9909,0.0045,0.9909,SUBSUMPTION_A_BROADER
5.3-9,5.1.1-1.1,0.9904,0.0636,0.9904,SUBSUMPTION_A_BROADER
5.3-9,5.2.2-2,0.9903,0.0132,0.9903,SUBSUMPTION_A_BROADER
5.3-9,5.2.3-3,0.9901,0.0005,0.9901,SUBSUMPTION_A_BROADER
5.3-9,5.1.3-1.3,0.9901,0.0107,0.9901,SUBSUMPTION_A_BROADER
5.3-9,5.2.3-2,0.9898,0.0045,0.9898,SUBSUMPTION_A_BROADER
5.3-9,5.2.3-2.2,0.9898,0.0003,0.9898,SUBSUMPTION_A_BROADER
5.3-9,5.1.1-2.2,0.9897,0.0073,0.9897,SUBSUMPTION_A_BROADER
5.3-9,5.1.2-1.1,0.9897,0.0007,0.9897,SUBSUMPTION_A_BROADER
5.3-9,5.1.2-4,0.9896,0.0026,0.9896,SUBSUMPTION_A_BROADER
5.3-9,5.1.2-6,0.9895,0.9685,0.9895,EQUIVALENCE
5.3-9,5.1.3-1.1,0.9894,0.001,0.9894,SUBSUMPTION_A_BROADER
5.3-9,5.1.1-1,0.9893,0.0047,0.9893,SUBSUMPTION_A_BROADER
5.3-9,5.2.1-3,0.9892,0.0003,0.9892,SUBSUMPTION_A_BROADER
5.3-9,5.1.4-2,0.9891,0.0016,0.9891,SUBSUMPTION_A_BROADER
5.3-9,5.1.4-1,0.989,0.0146,0.989,SUBSUMPTION_A_BROADER
5.3-9,5.4.2-3,0.9889,0.0025,0.9889,SUBSUMPTION_A_BROADER
5.3-9,5.5.1-2,0.9889,0.0006,0.9889,SUBSUMPTION_A_BROADER
5.3-9,5.2.3-4,0.9888,0.0006,0.9888,SUBSUMPTION_A_BROADER
5.3-9,5.2.3-1,0.9887,0.0067,0.9887,SUBSUMPTION_A_BROADER
5.3-9,5.2.4-1.2,0.9886,0.0003,0.9886,SUBSUMPTION_A_BROADER
5.3-9,5.3.1-2.1,0.9886,0.0007,0.9886,SUBSUMPTION_A_BROADER
5.3-9,5.2.2-4,0.9885,0.0002,0.9885,SUBSUMPTION_A_BROADER
5.3-9,5.2.5-2,0.9884,0.001,0.9884,SUBSUMPTION_A_BROADER
5.3-9,5.1.2-7,0.9883,0.0032,0.9883,SUBSUMPTION_A_BROADER
5.3-9,5.2.5-4.1,0.9882,0.0003,0.9882,SUBSUMPTION_A_BROADER
5.3-9,5.4.2-2,0.9881,0.0009,0.9881,SUBSUMPTION_A_BROADER
5.3-9,5.4.1-1.1,0.9881,0.0005,0.9881,SUBSUMPTION_A_BROADER
5.3-9,5.2.2-1,0.988,0.0042,0.988,SUBSUMPTION_A_BROADER
5.3-9,5.2.3-2.1,0.988,0.0005,0.988,SUBSUMPTION_A_BROADER
5.3-9,5.4.2-1,0.9878,0.0024,0.9878,SUBSUMPTION_A_BROADER
5.3-9,5.2.1-1,0.9877,0.0169,0.9877,SUBSUMPTION_A_BROADER
5.3-9,5.3.1-3,0.9876,0.0002,0.9876,SUBSUMPTION_A_BROADER
5.3-9,5.3.1-2.2,0.9875,0.0003,0.9875,SUBSUMPTION_A_BROADER
5.3-9,5.2.5-4,0.9874,0.0682,0.9874,SUBSUMPTION_A_BROADER
5.3-9,5.2.2-5,0.9873,0.0007,0.9873,SUBSUMPTION_A_BROADER
5.3-9,5.1.4-5,0.9873,0.0002,0.9873,SUBSUMPTION_A_BROADER
5.3-9,5.4.1-2,0.9871,0.0005,0.9871,SUBSUMPTION_A_BROADER
5.3-9,5.2.2-3,0.9871,0.0004,0.9871,SUBSUMPTION_A_BROADER
5.3-9,5.2.4-3,0.9869,0.0008,0.9869,SUBSUMPTION_A_BROADER
5.3-9,5.1.3-1.2,0.9868,0.9463,0.9868,EQUIVALENCE
5.3-9,5.2.2-6,0.9866,0.0051,0.9866,SUBSUMPTION_A_BROADER
5.3-9,5.4.1-1,0.9866,0.3647,0.9866,SUBSUMPTION_A_BROADER
5.3-9,5.4.2-4,0.9865,0.0003,0.9865,SUBSUMPTION_A_BROADER
5.3-9,5.2.1-4.2,0.9861,0.0008,0.9861,SUBSUMPTION_A_BROADER
5.3-9,5.1.4-3,0.986,0.0611,0.986,SUBSUMPTION_A_BROADER
5.3-9,5.1.2-5.1,0.9859,0.001,0.9859,SUBSUMPTION_A_BROADER
