src_id,tgt_id,tfidf_score,predicted_rel
5.2-1,5.2.2-4,0.1902,COMPLEMENTARITY
5.5-8,5.2.3-1,0.1856,COMPLEMENTARITY
5.6-9,5.2.3-1,0.1672,COMPLEMENTARITY
5.7-2,5.2.1-3.1,0.1553,COMPLEMENTARITY
5.8-3,5.2.3-2.2,0.1407,NO_RELATION
5.3-5,5.4.1-1,0.1337,NO_RELATION
5.3-9,5.2.4-1.2,0.1294,NO_RELATION
5.8-3,5.3.1-2.2,0.1247,NO_RELATION
5.6-2,5.2.4-1.1,0.1171,NO_RELATION
5.3-10,5.2.4-1.2,0.1169,NO_RELATION
5.3-4B,5.2.1-3.1,0.1044,NO_RELATION
5.6-9,5.2.1-2,0.1022,NO_RELATION
5.6-2,5.3.1-2.2,0.101,NO_RELATION
5.8-3,5.2.3-4,0.1002,NO_RELATION
5.3-14,5.3.1-2.2,0.1,NO_RELATION
