src_id,tgt_id,securebert_score,predicted_rel
5.6-9,5.4.2-4,0.9758,EQUIVALENCE
5.6-9,5.2.5-4.1,0.9705,EQUIVALENCE
5.0-1,5.1.3-4,0.9705,EQUIVALENCE
5.11-4,5.4.2-4,0.9703,EQUIVALENCE
5.0-1,5.2.1-4.1,0.97,EQUIVALENCE
5.0-1,5.3.1-3,0.9699,EQUIVALENCE
5.6-9,5.1.3-4,0.9688,EQUIVALENCE
5.0-1,5.2.5-4.1,0.9684,EQUIVALENCE
5.0-1,5.2.2-6,0.9675,EQUIVALENCE
5.5-2,5.2.3-2.1,0.9674,EQUIVALENCE
5.6-9,5.2.1-4.1,0.9672,EQUIVALENCE
5.3-6B,5.1.3-2,0.9671,EQUIVALENCE
5.6-9,5.3.1-3,0.9668,EQUIVALENCE
5.6-3,5.2.2-2,0.9662,EQUIVALENCE
5.5-2,5.1.2-4,0.9661,EQUIVALENCE
5.0-1,5.1.2-3,0.9649,EQUIVALENCE
5.8-3,5.1.3-4,0.9648,EQUIVALENCE
5.13-1B,5.3.1-2.1,0.9643,EQUIVALENCE
5.13-1B,5.2.1-4.1,0.9642,EQUIVALENCE
5.11-4,5.3.1-2.2,0.9639,EQUIVALENCE
5.6-9,5.2.2-6,0.9639,EQUIVALENCE
5.3-8,5.1.3-2,0.9638,EQUIVALENCE
5.12-2,5.4.2-4,0.9638,EQUIVALENCE
5.0-1,5.2.3-2.1,0.9637,EQUIVALENCE
5.0-1,5.4.2-4,0.9637,EQUIVALENCE
5.11-4,5.3.1-3,0.9635,EQUIVALENCE
5.3-11,5.3.1-2.2,0.9634,EQUIVALENCE
5.12-2,5.1.3-4,0.9631,EQUIVALENCE
5.5-1,5.1.3-4,0.963,EQUIVALENCE
5.5-5,5.2.3-2,0.963,EQUIVALENCE
5.12-2,5.1.3-2,0.963,EQUIVALENCE
5.12-2,5.3.1-2,0.963,EQUIVALENCE
5.5-5,5.1.2-6,0.963,EQUIVALENCE
5.8-2,5.1.3-2,0.9627,EQUIVALENCE
5.11-4,5.2.5-4.1,0.9627,EQUIVALENCE
5.0-1,5.2.3-2,0.9626,EQUIVALENCE
5.5-2,5.2.1-4.1,0.9625,EQUIVALENCE
5.6-9,5.2.1-2,0.9622,EQUIVALENCE
5.0-1,5.3.1-2.1,0.9622,EQUIVALENCE
5.13-1A,5.3.1-2.1,0.9621,EQUIVALENCE
5.6-9,5.1.4-1,0.9619,EQUIVALENCE
5.12-2,5.2.1-4.1,0.9618,EQUIVALENCE
5.6-3,5.1.3-4,0.9617,EQUIVALENCE
5.0-1,5.1.3-2,0.9613,EQUIVALENCE
5.6-3,5.2.1-4.1,0.9613,EQUIVALENCE
5.6-3,5.1.3-1.2,0.9612,EQUIVALENCE
5.8-2,5.1.3-4,0.9611,EQUIVALENCE
5.5-1,5.2.1-4.1,0.9611,EQUIVALENCE
5.5-2,5.1.3-1,0.961,EQUIVALENCE
5.5-2,5.2.5-4.1,0.961,EQUIVALENCE
5.13-1B,5.2.5-4.1,0.9609,EQUIVALENCE
5.8-2,5.2.1-4.1,0.9609,EQUIVALENCE
5.6-9,5.2.4-3,0.9608,EQUIVALENCE
5.5-1,5.2.2-3,0.9608,EQUIVALENCE
5.3-6B,5.1.3-4,0.9607,EQUIVALENCE
5.2-2,5.1.3-2,0.9607,EQUIVALENCE
5.12-2,5.3.1-2.1,0.9606,EQUIVALENCE
5.12-2,5.3.1-2.2,0.9605,EQUIVALENCE
5.12-2,5.3.1-3,0.9605,EQUIVALENCE
5.5-5,5.2.2-2,0.9603,EQUIVALENCE
5.12-2,5.2.5-4.1,0.9603,EQUIVALENCE
5.2-1,5.3.1-3,0.9603,EQUIVALENCE
5.1-5,5.2.2-2,0.9602,EQUIVALENCE
5.6-9,5.4.2-3,0.9602,EQUIVALENCE
5.0-1,5.3.1-2,0.9602,EQUIVALENCE
5.12-2,5.1.2-3,0.9602,EQUIVALENCE
5.3-4B,5.1.3-2,0.9601,EQUIVALENCE
5.5-5,5.2.2-3,0.9601,EQUIVALENCE
5.11-4,5.2.1-4.1,0.96,EQUIVALENCE
5.5-2,5.3.1-2.1,0.96,EQUIVALENCE
5.5-2,5.1.4-1,0.9599,EQUIVALENCE
5.8-3,5.3.1-3,0.9598,EQUIVALENCE
5.5-1,5.1.3-1.2,0.9597,EQUIVALENCE
5.0-1,5.2.4-3,0.9597,EQUIVALENCE
5.6-8,5.2.1-4.1,0.9597,EQUIVALENCE
5.5-2,5.1.3-4,0.9596,EQUIVALENCE
5.5-2,5.1.2-3,0.9595,EQUIVALENCE
5.5-1,5.2.2-2,0.9595,EQUIVALENCE
5.12-2,5.2.2-2,0.9593,EQUIVALENCE
5.5-8,5.1.2-3,0.9592,EQUIVALENCE
5.8-2,5.3.1-1,0.9592,EQUIVALENCE
5.6-3,5.2.3-2,0.9592,EQUIVALENCE
5.5-2,5.2.5-3,0.9591,EQUIVALENCE
5.11-4,5.1.4-4,0.9591,EQUIVALENCE
5.3-3,5.2.2-2,0.9591,EQUIVALENCE
5.12-1,5.4.2-4,0.9591,EQUIVALENCE
5.5-5,5.3.1-1,0.9591,EQUIVALENCE
5.0-1,5.1.3-1,0.959,EQUIVALENCE
5.3-14,5.3.1-2.2,0.959,EQUIVALENCE
5.1-4,5.2.2-2,0.959,EQUIVALENCE
5.5-2,5.2.3-2,0.9589,EQUIVALENCE
